ID,Story,FacScoresQ,FacScoresO,Dataset,ProblemID,set,ID.1,wordcount,qwenDSI-3
14,"Becky should first confront mark and let him know that she knows what's been going on. she should tell him it's wrong to steal and that he should stop. If he does not stop stealing, Becky should tell the manager and then the matter will deal with the issu.",-1.872457793,-0.484258882,RLPS1,Becky,training,298,51,0.43838614225387573
15,"Becky should tell Mark about Jim. Mark has given Becky the benefit of the doubt by giving her a job and working around her schedule. Jim is disrespecting Mark by making pizza's and taking them home. That is stealing from the company. Even though Jim is Beky's roomate, Becky should inform Mark of the current situation.",0.107464015,-0.743086137,RLPS1,Becky,training,203,58,0.5018988251686096
16,"becky should tell the manager the truth, if jim is unable to find another job then becky should find a new roommate. sooner or later the manager will suspect becky since she has had record of shoplifting in the past.",-0.123122956,0.313362334,RLPS1,Becky,training,59,40,0.4711006283760071
17,"Morally the right thing for Becky to do would be to tell her boss. However, to be a good friend would to be not to tell on Jim. The only creative solution to this problem would to be to try and talk to Jim one on one. Give Jim the decision of whether or nt he wants Becky to inform their boss of what he has been doing. As a friend he should understand where Becky is coming from and want to take the strain off her.",-0.123122956,-1.023052843,RLPS1,Becky,training,327,87,0.4404289722442627
18,Becky could pay for the pizzas herself - or at least half of them. That would help take some of the guilt away. She could also spend some of her free time trying to find a new job for Jim - one that he would like more. She could also just move to Italy an start a new life.,-0.353709927,2.34903445,RLPS1,Becky,training,230,57,0.46444663405418396
19,"Becky needs to talk to Jim and discuss his problems at work. While emphasizing how she doesn't want to, she will tell Mark about Jim's work-related problems if Jim does not cease. If Jim ignores her and continues, Becky should put an ad in the newspaper loking for a roommate because she will have to tell Mark about Jim's issues, otherwise it may look like she is the one that is stealing.",1.165037939,0.460172229,RLPS1,Becky,training,123,76,0.4728867709636688
20,Becky should trap JIm with his rudeness in front of their boss. This way she 's not pointing blame and Mark see's it with his own eyes.,-1.411283851,1.11098355,RLPS1,Becky,training,140,28,0.47972986102104187
21,"I would advise Becky to write an anonymous letter to Mark regarding Jim's behavior. In doing so, Mark will not have proof of all the accusations, but will have the heads up to watch him closely and give him a warning about the threat to his job. This willhopefully allow Jim to see the seriousness of it yet not lose his job so Becky gets the benefit.",1.39562491,0.460172229,RLPS1,Becky,training,98,68,0.44282832741737366
22,Becky is very lucky to be able to be working for Mark because her past history of shoplifting. The right thing for her to do would be to talk to Mark. He is going to find out that the pizzas were stolen when he sees that there is no money made with lots o ingreidents gone. Mark may assume it was Becky because of her past. So she should talk to Mark and tell him what is going on.,0.107464015,-0.743086137,RLPS1,Becky,training,5,79,0.4745381474494934
23,Becky should talk to jim privately and try to convince him that he should change his work attitude.  She should explain that him losing his job would affect both of them as they would not be able to afford their monthly rent if he lost his job.,0.107464015,-0.743086137,RLPS1,Becky,training,254,47,0.44855284690856934
24,If I were Becky I would write a not to Mark explaining the problems with Jim. In the letter I would state the fact that I do not want Jim to know that I was writing the letter. Then I would leave the letter on Mark's desk and let him handle the problem.,-1.411283851,0.460172229,RLPS1,Becky,training,80,54,0.4469752311706543
25,"Becky should first discuss this with Jim, and tell him that he needs to either pay for the pizzas or he needs to go to the boss, and admit what he has done.  He will get caught in the end because eventually the ingredients will be missed.  The boss may unerstand, and perhaps will allow him to work off the pizzas somehow.  Maybe he could help out cleaning up around the restaurant.  If Jim will not tell his boss Becky should tell him.  She wouldn't necessarily have to come right out and tell on her coworker she could come up with a way for the boss to catch him at it.  If he does it once Jim will more than likely do it again.  She could tell the boss to check on the inventory.  She could have other people who might have been at the party come tell her boss bout it.  If all of that fails, she should just tell Mark about Jim stealing the pizzas.",0.934450968,2.34903445,RLPS1,Becky,training,189,168,0.4449206590652466
26,I would tell Jim to stop stealing from the company because if he gets caught then we would be out rent money. if the behavior didnt stop then i would go to mark and explain the situation with him and see if having a conversation with Jim would curve the bhavior. if not i would start looking for  a new roommate with whom i didnt work with.,0.934450968,0.460172229,RLPS1,Becky,training,112,67,0.4674917757511139
27,Becky should talk to Jim and tell him how she feels about the situation. If Jim continues to steal then I think Becky has no other choice other than to tell Mark,-0.353709927,-0.484258882,RLPS1,Becky,training,290,32,0.4475027322769165
28,I think that Becky should talk to Jim about the whole thing. If he is as good of a friend as she thinks he is then he should understand. Plus it sounds like Mark likes to give second chances. If Jom confesses or pays for them I think that Mark will be undrstanding.,1.39562491,-0.764225588,RLPS1,Becky,training,250,53,0.4544447362422943
29,"Becky should report what happened the night when her and Jim were at the pizza place alone. By not telling Mark, she is putting her own job at risk. By telling Mark, he can be the one to confront Jim and Becky doesn't have to say anything directly to Jim.It is Mark's job to handle his employees.",-0.123122956,-1.023052843,RLPS1,Becky,training,71,60,0.46798133850097656
30,If I was Becky I would submit an anonymous letter to the pizzeria. I would say in the note that there was some stock items missing that were not made up for through the profit of the pizzeria. That way no one knows it was Becky who told on Jim. And if Jimlooses his job he would have to find another and still pay the rent.,-0.123122956,0.460172229,RLPS1,Becky,training,316,66,0.4567733705043793
31,"There are several options to this problem. First, I would tell Becky to find a different job.  If this was not possible, I would try to get Jim caught in the act if at all possible.  Nobody likes a tattle-tale, but if he was caught red-handed it would be  must for him to find a different job.  If he was not caught, stipulations that Becky was the one stealing might appear because she has a record of it.",-0.353709927,0.718999483,RLPS1,Becky,training,64,80,0.4477618634700775
32,well the thing that becky needs to first think about is the consequences that will happen if mark finds out what jim is doing and that becky did not stop him or tell mark.  She also needs to think of if her job or friendship is more important and what shereally wants to do before she takes action.  what becky could do is to confront Jim first before going to mark and tell jim that his behavior is wrong and he should stop then if jim does not listen she would then need to go to mark and be honest especiall for everything mark has given her.,-0.353709927,-0.484258882,RLPS1,Becky,training,337,107,0.46083319187164307
33,"Becky probably doesn't want to just confront Jim about how his stealing at work is bothering her.  It actually probably only really bothers her becuase she doesn't want him to get caught and get fired becuase then he wouldn't be able to pay the other partof the rent.  What she should do is convince jim that she over heard Mark talking on the phone to the store manager about how they are about to install small security cameras in the ceiling so they're completely unnoticable becuase Mark has noticed a shor in supplies.  By doing this, Becky will hopefully scare Jim into not stealing from the pizzaria anymore without getting on his bad side.",-0.123122956,2.090207195,RLPS1,Becky,training,350,118,0.4813450276851654
34,"I believe that Becky needs to worry about herself first and foremost. If Becky's manager finds out that she knew all along about Jeff and did not say or do anything, she could be in trouble as well, and she already has a mark on her record, and her boss s trusting her to be more responsible. She needs to prove that she has changed and is a better person. Since Becky is so worried about Jeff making his rent, I think that first, Becky should tell Jeff what he's doing is wrong. She should warn him that if h does not change she will tell their boss, Mark about everything. Another option Becky should use is helping Jeff to find another job so he can still pay his rent, and persuade him that the right thing to do is to fess up to their boss. If their boss doesnot accept Jeff's honesty and apology, he may be fired, so he should have another job lined up. Becky should tell Mark she knew about Jeff's actions and is the one that persuaded him to come forward. If Becky does not do anything to stop this, the busines, as well as her job could be in jeopardy.",1.165037939,0.460172229,RLPS1,Becky,training,346,210,0.4504004120826721
35,"I think Becky should bring up the problem with Jim before she talks to the boss about it. She could tell Jim that she is not happy with some of the work qualities he has been performing, and that she does not think it is right that he is stealing from hisplace of employment. She should make it very clear to Jim that if the problem continues to happen, she will have to turn him in because that is the ethical thing to do. For the roommate situation, I think she should try and get a new roommate, because shecannot trust him. If he steals for the place of employment, he would probably steal from his roommate as well.",2.683785805,0.606982123,RLPS1,Becky,training,122,119,0.42844057083129883
36,"Becky should talk to mark and inform him about her Jim's behavior at work. She should suggest that Jim pay for the ten pizza's  that he keep his nose clean and do his work. Otherwise his job will be in danger. Even though Becky is friends with Jim, and sh needs him there to pay for his share of the place, she has an obligation to her work to report stealing and laziness in other employees.  In turn the company will profit more and she may see some of that by receiving a raise or gratitude from the owner Mrk.",1.39562491,-0.078621733,RLPS1,Becky,training,257,102,0.4683436155319214
37,"Becky should talk to Jim about his behavior, how it could hurt him, and reflects on her.",-1.641870822,-1.428689993,RLPS1,Becky,training,177,17,0.43036437034606934
38,"Becky should first talk to Jim and tell him that she knows what he's been taking food from work without paying and give him the opportunity to tell Mark what he did and pay for the pizzas.  If he refuses to tell Mark, Becky should inform him that she is ging to talk to Mark.  If Jim is supposedly a good friend of Becky's and sees that she is upset by his behavior, he will confess to Mark and make ammends.  But if he decides not to confess, and be a jerk to Becky, then she should realize that he's not a god friend and not worth the worry he has caused her.",-0.584296898,-0.078621733,RLPS1,Becky,training,93,116,0.4596613049507141
39,"I think a solution for Becky's problem is to talk to Jm about the problem.  It is wrong for Jim to steal pizza and treat customers rudely, Becky just needs to confront Jim about it.  Then Becky can keep Jim as a friend, Jim will still be employed, and shewon't be held responsible at her job.",-0.123122956,-1.281880098,RLPS1,Becky,training,85,58,0.4695243537425995
40,"I would tell Jim not to do that anymore, and tell him that the manager is putting in cameras bcuase he thought he saw someone stealing from the store. I would try and scare Jim into not doing that anymore. I would also say that if he keeps doing this and ets caught, he will be fired and forced to move out.",-0.123122956,0.99896619,RLPS1,Becky,training,232,62,0.4260999262332916
41,"Becky needs to find a new roommate!

This is a tough situation. Unfortunatly becky needs to own-up and be a committed and faithful employee. If she choses to do nothing she will likely lose her job. If this is a small buiness, then the missing stock proobly has not gone unnoticed. She needs to speak to her manager directly! From what it soulnds like is the manager in uderstanding and compassionate. Together they could work out a plan to catch the theiving emplyee, Jim, red handed. This would allow Beckyto remain anonymous, and would also let the employer know what is going on. A secondary outcome that this would produce is repore with the manager. Having trust in the people that you employ would be a great feeling for the manager, and would build their elationship at thie establishment in a positive way.",1.165037939,0.327015416,RLPS1,Becky,training,204,144,0.4729224145412445
42,Becky needs to have a talk with Jim first and tell him that if he does it again she is going to have to tell on him. If Jim proceeds to do it again Becky needs to tell her boss. And probably find a new roommate.,-0.353709927,0.313362334,RLPS1,Becky,training,313,46,0.44613566994667053
43,"Talk to Jim and the manager to set up a meeting to see what they can do about Jims behavior at work, maybe Jim wants something, like a pay raise, or benefits.  Becky needs to tell Jim to stop acting like this or he will have to move out of their house/apatment and Becky will find a new roomate, because if he doesnt stop he will be fired and will not be able to afford rent.",-0.584296898,0.460172229,RLPS1,Becky,training,9,77,0.4694010615348816
44,"I think a good way for Becky to tell her boss about whats going on without letting her friend know it was her that told on him, is to tell the manger to check the security tapes. That way when the boss knows what happened and confronts Jim with the proble he can say that the he checks security tapes and that no one told him about what happened he figured out by himself.",-1.641870822,0.460172229,RLPS1,Becky,training,191,74,0.4047675132751465
45,"I believe that Becky needs to first confront Jim about the problem, telling him that if he doesn't say anything to Mark, that she will.  But also explain to Jim that it is because it is the right thing to do. Not because she wants to rat him out.",-1.872457793,-0.337448988,RLPS1,Becky,training,143,50,0.4103263318538666
46,"The first thing I would do is talk to Jim and explain what a bad situation his actions are putting her in.  If he still doesn't stop she should tell, if for no other reason than to cover her butt.  She is worried that Jim may get fired and not be able to ay his part of the rent, but if the boss thinks she is involved then she will get fired too.  Since she had such a hard time getting a job and this person has been so kind to her, she wouldn't want him to think that she was ungrateful or that she was steaing.  If Jim did get fired or didn't want to be her friend, it would be easier for her to find a roommate to take over for him, than it would be for her to find a new job and move out of her place.  She would then be forced to breark a lease which would b more money that she didn't have if she lost her job.",0.703863997,-0.078621733,RLPS1,Becky,training,44,178,0.444687157869339
47,Becky can talk to Jim about how he is feeling. If Jime does not feel like he did anything wrong and steals again then Becky can tell the manager.,-0.353709927,-0.484258882,RLPS1,Becky,training,16,29,0.4736377000808716
48,"One suggestion for Becky would be confronting Jim about her problem and concern before talking to Mark.  If Jim's behavior is effecting the way she can do her job she should tell him.  Also, with him being a good friend and her roomate she may want to tel him that she does not approve of his work ethic in a concerned friend way.  Jim needs to know that him stealing pizza is making her uncomfortable.  Maybe by expressing her concern to Jim it would get him to stop.  If Jim were to have a problem with her cncern, then maybe he would need to find another job.  It may not be healthy for them to be roomates and work together.  Becky should also let Jim know that him stealing pizza could also cost her the job also.  Having one roomate out of work for a brief peiod of time would be better than both of them losing their jobs.  If Jim continues with his behavior Becky should then tell Mark.",0.934450968,0.348154868,RLPS1,Becky,training,300,171,0.4584658443927765
49,Becky should first confront Mark in person and let him know that what he did was wrong.  If Mark then proceeds to repeating his negative actions then Becky should let her boss know of the issues that she is concerned with including her roommate not havinga job and not being able to make rent.  If Mark fails to listen then Becky should try to find a new roommate and maybe her boss will employ Mark until she does so.,0.934450968,0.460172229,RLPS1,Becky,training,217,79,0.4619123041629791
50,"Becky should confront Jim about his misbehavior and give him warning. If his actions do not stop, she should start looking for a new room mate. After finding a new room mate, Becky should tell Mark about what Jim has been doing and how he has been acting owards customers.",-0.584296898,0.460172229,RLPS1,Becky,training,91,50,0.47479191422462463
51,"I think Becky should tell Mark that Jim is stealing all those pizzas, but she should explain her situation about the rent to see if there would be a way to punish Jim without firing him. Especially due to their situation, but if Mark chooses to fire him,  think Becky should ask some of her other friends to move in with because she wont be able to pay for the whole rent by her self.",1.165037939,0.460172229,RLPS1,Becky,training,329,75,0.4480661153793335
52,"Becky should confront him about it. If it continues to happen, then she should talk to the boss because if he caught him, they could both lose their jobs if she didn't do anything about it which makes it worse because then neither of them would have rent oney. Jim would probably have an easier time finding a new job than Becky would since she has a record. Since the boss has been doing her a favor by giving her that job, she needs to do it well and do him a favor when he is being taken advantage of.",-0.584296898,-0.190639093,RLPS1,Becky,training,186,101,0.42499154806137085
53,"What i would do is leave a note for the GM about what she has seen. Ask the GM to talk to the thief and give him one chance. If he doesnt listen to his one last chance then she needs to nicely ask him to move out or she needs to find a new place. She coul also talk to him and tell him that she did that when she was younger and it got her in a lot of trouble. She could say that she heard a rumor about what he was doing and the GM has to. Then she wount be suspected about rating him out, but the GM will kno whats going on. The choice is then up to the theif on what to do next",-0.584296898,0.460172229,RLPS1,Becky,training,124,130,0.434140145778656
54,"I think that Becky although she has made mistakes in her past knows ethically that telling her boss about Jim's behavior is the right thing to do.  She could also try talking to Jim about what she knows, this could stop him from stealing and he could possbly change his ways. However it could also cause a huge conflict.  I personally would talk to Jim first, if his antics continue Becky should do what's right for her employer and the company.",-0.584296898,-0.337448988,RLPS1,Becky,training,301,83,0.45114758610725403
55,"Becky should explain to her roommate Jim her situation on how she needs this job and how it is so flexible with her schedule. She shouldn't accuse Jim rudely of anything just simply explain the situation and that she doesn't want it to ruin their friendshp or her ending up getting fired for letting employees act inappropriate or steal especially when she is the manager of that shift. 

Or if she wanted she could submit an annonymous email/letter to the pizza place as a customer comlaining about how rudey one of the workers was and just simply say it was a male and then maybe Mark the manager would talk to all of the males that worked there to scare him.",0.934450968,1.5166207,RLPS1,Becky,training,333,124,0.4792736768722534
56,"Becky needs to first talk about the situation with her friend Jim before it gets out of hand. If he is not noticed for his bad behavior then he will continue to do it without punishment. Since Becky is in a sticky situation, it would be in her best interet to first talk to Jim about the situation and if he continues to do it then talk to her boss.",-0.353709927,-0.484258882,RLPS1,Becky,training,172,70,0.43991413712501526
57,"If it were me, I probably wouldn't tell, but If I were Becky, I would tell because it could come back to haunt her. She could get fired if the manager finds out and she can't afford to not have a job.",-1.641870822,-1.428689993,RLPS1,Becky,training,268,44,0.4407030940055847
58,"What Becky can do is talk to Jim about what he is doing and how it is causing her problems and it is annoying her. She needs to make sure Jim knows how bad of a problem this is. And if Jim's behavior doesn't change, or if it gets worse, then Becky needs t tell Mark what's going on so he can take care of it.",-0.584296898,-0.484258882,RLPS1,Becky,training,166,69,0.4284612238407135
59,I believe that Becky should at least let her boss know about the things Jim has been doing. She should tell him that she wants it to be anonymous.,-1.641870822,-0.484258882,RLPS1,Becky,training,238,29,0.40024349093437195
60,"Have becky talk to the manager and fill him in on what is going on, let the manager know that becky is only doing this because she believes that it is fair...but also advise the manager that Jim is beckys other half of rent so if disciplinary action has t be taken, the manager has to help her find another place to live.",1.39562491,0.460172229,RLPS1,Becky,training,356,64,0.45680245757102966
61,I think that Becky should go to Mark and let him know what Jim is doing. Have Becky tell Mark her entire story. Mark will hopefully talk to Jim and give him a second chance because Becky needs Jim to have a job.,-0.123122956,-0.484258882,RLPS1,Becky,training,125,43,0.47229424118995667
62,Talk to Jim about his behavior and tell him to change or else Mark will find out. Tell him that you do not want to take sides but be sure to be clear that he needs to stop stealing the pizza in order to keep his job.,-0.353709927,-0.743086137,RLPS1,Becky,training,154,47,0.43026256561279297
63,First I would talk to Jim about the situation and tell him that I feel uncomfortable about what he is doing.  I would tell Jim that he either needed to pay for the pizzas and stop stealing from the pizzeria or I would tell the owner.,-0.353709927,-0.337448988,RLPS1,Becky,training,315,46,0.41867631673812866
64,tell jim he cant do that any more or she will turn him in and find a new room mate.,-1.641870822,0.16655244,RLPS1,Becky,training,322,20,0.4377090036869049
65,"Becky should tell her boss about the problems Jim is causing. Jim is a good friend but she doesn't want to jeporadize her own job. If her boss finds out what has been going on and that Becky let it happen, he may place some blame on her as well. Yes, Jim ould lose his job but she can either help him find a new job or she can find a new roommate. She can tell her boss to make sure Jim doesn't know that Becky was the one who ""told on him."" To ensure her friend ship with Jim. She can also help Jim find a newjob and tell him that he can find a better one anyways.",1.165037939,0.460172229,RLPS1,Becky,training,221,121,0.4452323913574219
66,"If I were Backy, I would first sit down with Jim and tell him he needs t stop doing what he has been doing (stealing). I would then tell him he needs to admit to Mark about the pizzas he stole and if he doesn't, then I will. Once I talked to Jim I would svise him to start looking for another job so he can still pay his portion of the rent. At the same time, I would be looking for a new roommate, a back up roommate, just in case.",3.9719467,0.460172229,RLPS1,Becky,training,286,93,0.45835191011428833
67,becky decided to talk to her roommate/friend about di problem he is causing on their friendship and at work. jim thought about it and values his friendship with becky more so he paid for the pizza he took back home for the party he was hosting and helped round more at work.,-1.641870822,-0.764225588,RLPS1,Becky,training,210,53,0.4870325028896332
68,If I were Becky I would first confront Jim about it and tell him to stop and if the behavior continued I would have to tell the owner because it could cause me to lose my job also.,-0.353709927,-0.484258882,RLPS1,Becky,training,212,38,0.39904287457466125
69,Add the cost of the pizzas Jim made to his portion of the rent.,-1.411283851,1.223000911,RLPS1,Becky,training,194,14,0.38574790954589844
70,"She should speak to JIm in private and inform him that his behavior could lead to them both losing their jobs. She should try to scare him with the idea that if they are both not finacially stable, they could lose their apartment.",1.39562491,-0.743086137,RLPS1,Becky,training,213,43,0.441687673330307
71,"The first thing Becky should do would be to report the theft to the manager to ensure that he still trusts her, given her past.  If she doesn't confront her boss before her co-worker then she could face losing her job because she gets blamed for somethingshe didn't do.",-0.353709927,-0.743086137,RLPS1,Becky,training,42,52,0.4232480525970459
72,"Becky, should leave a note to her supervisor, tell him what has been happening in the restaurant. Also, Becky could talk to Jim about his behavior in private before going to the supervisor.",-0.353709927,-0.484258882,RLPS1,Becky,training,321,33,0.4381159543991089
73,"I beleive that Becky should go to Jim herself and talk to him. She should tell him that what he is doing is wrong, and make him understand it. Tell him that the only right thing to do is go to Mark and apologize for what he has done, then ask if he can mae up for what he has done. Mark seems understanding and level minded so hopefuly we will take the apology and make Jim work hard. In this solution everyone wins, because Jim will stop stealing and still have a job.",-0.353709927,0.180205522,RLPS1,Becky,training,283,94,0.4492380619049072
74,"Becky should confront Jim about what he is doing. Tell him that he cannot steal food from their employer. If he is going to take food, he needs to pay for it. The manager has trusted Becky with a role of responsibility. She needs to uphold her responsibilties. If this confrontation creates that big of a deal between Becky and Jim, then they are obviously not very good friends to begin with and that Jim should move out because he will not be able to provide a steady source of income to pay for the rent.",-0.123122956,-0.337448988,RLPS1,Becky,training,101,96,0.4531658887863159
75,"The only way that this situation will make a turn for the better is if Jim is confronted about his actions. If she approaches him in a way that seems like she is on his side, maybe telling him that their boss is onto him, then he might say thanks and stopstealing.",-1.641870822,0.16655244,RLPS1,Becky,training,61,52,0.42425015568733215
76,"I think that Becky should confront Jim about the situation and tell him how she feels. She is good friends with him and wants him to be able to pay rent. If the situation does not get better then she could tell Mark, or is Mark confronts her about the prolem she should just tell him because lying is going to get her nowhere.",-0.353709927,-0.484258882,RLPS1,Becky,training,287,64,0.4362230598926544
77,"She should tell Mark about Jim stealing the pizzas, because if she did not he may find out later and wrongfully believe she was the one who took them.  If the rent is one of the main reasons why she is hesitating, she can simply find a  cheaper place to lve at that she can pay fully on her own or she can move back in with her parents if they are close by.  She should not keep quiet, especially when it comes to a job she needs herself in order to keep up her livelihood.",0.934450968,1.796587406,RLPS1,Becky,training,118,96,0.45068785548210144
78,"If I were Becky I would say tell Mark because she knows it is wrong. She can always find a new roommate, but she won't always ge able to find another job like the one she has now.",-0.353709927,-1.281880098,RLPS1,Becky,training,84,39,0.45325443148612976
79,"I would tell Mark what Jim is doing and if Jim can't pay for his portion of the rent, get another roommate who can pay it.",-0.353709927,0.313362334,RLPS1,Becky,training,299,27,0.43541261553764343
80,"Becky should tell Jim that she cares about him so she hasn't told Mark anything, but if he continues his current behavioral pattern she will tell Mark which could end in Jim being terminated.",-0.353709927,-0.484258882,RLPS1,Becky,training,234,35,0.45661482214927673
81,"Becky should talk to Jim first and ask him why he is doing what hes doing. If that doesn't work then she should go to her boss and tell him whats happening, but tell him not to tell Jim that he was her that said anything.",-0.584296898,-0.484258882,RLPS1,Becky,training,110,47,0.42768025398254395
82,tell jim if he does it again she'll tell the boss,-1.641870822,-0.889896031,RLPS1,Becky,training,51,12,0.38479623198509216
83,"Becky should approach Jim in privacy about his problem at work. She should make him aware of his actions and the consequences that go along with them. If they are such good friends, Jim would compromise with Becky and quit stealing from the pizzeria. If h gets it through his head that stealing food (even though its not actual money) is grounds for getting fired, then he will be more likely to quit stealing. Food supplies do cost the company money, so technically he is stealing money in that sense. If Jim ontinues to keep stealing, then BEcky should tell Mark because if Jim does get caught, Mark could fire both of them because they are friends and he might think that Becky is also guilty of this business.",-0.584296898,-0.337448988,RLPS1,Becky,training,263,129,0.46441730856895447
84,She can first try to talk to jim about the problem before she tells Mark because ending a freindship and putting their rent payment in jeporady is worse then not telling Mark.,-0.123122956,-0.743086137,RLPS1,Becky,training,233,32,0.49016404151916504
85,"If Becky wishes to keep her job and her friend she needs to find out a way to approach her boss Mark and her friend Jim. The best thing for Becky to do would be; approach Mark and tell him about what Jim is doing but ask that she may talk to Jim and get hm to pay back the money he owes and change his ways so that he will be able to pay for rent and keep Becky as a friend. If Mark agrees then Becky should approach Jim. When talking to Jim, Becky should remain calm and friendly. She should explain that whatJim is doing is wrong and that she will be forced to turn him in unless he pays back the money he owes and will never steal from the Pizzeria again. Becky might want to also tell Jim that he is a good friend of hers but she doesn't want to see his future o down the drain over stealing pizza. She might also want to relate to him about when she was arrested for shopplifting and how it greatly affected his life. If Jim was willing to accept his friends advice then he may be able to keep his job and work hardr.",0.934450968,0.068188162,RLPS1,Becky,training,78,210,0.45589858293533325
86,"becky needs to tell jim that what he's doing is hurting her and making things difficult for her. If he's her friend then he'll adjust in some way, if he doesn't, then it shows he doesn't care about becky and she should find a new roomate",-0.123122956,-0.225431627,RLPS1,Becky,training,364,51,0.44076812267303467
