text,ProblemID,set,wordcount,DSI,labelQuality,predictionQuality_GPT2,labelOriginality,predictionOriginality_GPT2,predictionQuality_RoBERTa,predictionOriginality_RoBERTa,prederrorQualGPT2,prederrorQualRoBERTa,prederrorOrigGPT2,prederrorOrigRoBERTa
"Well, since she is not getting lot of practical experience.. I would say she should quit the job and concentrate more in school. Or she could talk to her boss and see if they would reduce the time for her.   The last option that i can come up with is that she could devote more time to studying, by staying up late and wasting less time.",Clara,test,66,0.8007790446281433,0.621709009,0.6294713,0.194335926,0.01336349,0.69579095,0.2878004,-0.00776229099999992,-0.07408194099999998,0.180972436,-0.09346447400000002
Hire someone to take the tests for her.,Clara,test,8,0.7442098259925842,-1.498843837,-0.87049085,1.978215548,-0.17655614,-0.61631376,-0.048310366,-0.6283529869999999,-0.8825300769999999,2.1547716880000003,2.026525914
"Clara should talk to her boss about an exception to the 25 hr. min.  If the boss doesn't like the idea of cutting her hours, Clara needs a new job.  A new job that maybe only requires a minimum of 12-16 hours per week.",Clara,test,46,0.8044816851615906,-0.406441651,0.08159348,-0.697603884,-0.031856075,0.016244095,0.043945637,-0.488035131,-0.422685746,-0.665747809,-0.7415495209999999
try and get a job where you can do your school work at times that are free.,Clara,test,17,0.7533175349235535,-0.470693177,-0.6176886,-0.651135204,-0.088083975,-0.5987228,-0.6380109,0.146995423,0.12802962299999998,-0.563051229,-0.01312430399999997
ask her boss if it is possible to cut her hours to give her more time to study,Clara,test,18,0.7556979656219482,0.493205956,0.4422936,-0.881287356,-0.74122554,0.55454105,-0.8074977,0.05091235599999999,-0.06133509399999998,-0.140061816,-0.07378965599999998
"She should cut down the hours at her work to 15 a week instead of 10, giving her extra time to study for her classes.",Clara,test,25,0.7646831274032593,0.493205956,0.55326396,-0.697603884,0.012612037,0.53149384,-0.6108461,-0.060058004,-0.03828788399999999,-0.710215921,-0.086757784
"I would see if, for the current semester, she could cut her hours down at work, maybe even just down to 20 hours a week, or 15.",Clara,test,27,0.7867855429649353,-0.470693177,0.098068625,-1.175708071,-0.14263844,0.12212923,-0.27688065,-0.568761802,-0.592822407,-1.033069631,-0.898827421
Clara should either see if she could cut down on the number of hours at her job or see if she has any free time while there to study. She could also try to get a job with compatible pay at a company that is in the field of medicine in which she is intending to go so that she can get some practical experience and boost her resume also the people she works with there may be able to help her to improve her grades.,Clara,test,86,0.7938462495803833,1.585608143,0.8595613,-0.513920413,0.2320547,0.7689031,0.35412586,0.726046843,0.816705043,-0.7459751130000001,-0.868046273
Clara should probably quit her job and find one with flexible hours or one that relates to her field of study.,Clara,test,21,0.788397490978241,0.085397235,0.2667812,-1.175708071,-0.5252275,0.11375272,-0.3791873,-0.181383965,-0.028355485,-0.6504805710000001,-0.7965207710000001
"Maybe Clara can see about cutting her hours or quitting altogether.  She might also be able to find time in her schedule between classes so that she can get some work done instead of wasting time doing some of the stuff other classmates are doing such as surfing the net, texting or yakking on the telephone.",Clara,test,56,0.8180782794952393,0.557457483,0.6509864,-0.283768261,1.1503102,0.61061686,1.1580218,-0.093528917,-0.05315937700000006,-1.434078461,-1.441790061
Although her job pays well its not worth failing her classes and having to retake them.  She needs to think long term and whats good for her.  I think her best option is to quit her job and if she needs the money get another job that maybe pays more an hour and requires less of her time.  Maybe a job that she is able to work on her school work.,Clara,test,71,0.7878780961036682,0.557457483,0.034026984,-0.697603884,-0.17077537,-0.070727825,-0.0433629,0.5234304989999999,0.6281853079999999,-0.526828514,-0.654240984
"Clara needs to eliminate other outside distractions in her life. School and work are both important to her, so she needs to practice better time management. This might mean not spending as much time hanging out with friends or watching television.",Clara,test,41,0.8051825165748596,-0.942753425,-0.11799374,0.010652455,0.25733122,-0.49373534,0.6684314,-0.8247596850000001,-0.449018085,-0.246678765,-0.657778945
"She should find a different job which applies more to her major so she will be getting experience in areas needed. That may even make her work easier, because the experience from that job may relate to her homework.",Clara,test,39,0.7731510996818542,-0.470693177,0.016973628,-0.697603884,-0.26766318,-0.10389506,-0.50327337,-0.487666805,-0.366798117,-0.4299407039999999,-0.1943305139999999
"Clara could seek employment elsewhere. Clara could also try to get and internship or a place in one of her teacher's research programs so that she could get paid and get job experience.  Should Clara find an internship, she could try to get her teachers to use her experience as an intern in her related field and turn it into an independent study class.",Clara,test,65,0.7750722169876099,1.521356616,0.9521431,1.610848605,1.1142578,1.0164822,1.1743501,0.569213516,0.504874416,0.49659080499999986,0.4364985049999998
She has to split her classes up and maybe go to med school in another year and take her time and make sure knows her stuff,Clara,test,26,0.7571824193000793,-0.470693177,-0.497494,-0.560389093,0.02750583,-0.5066762,0.50448227,0.02680082299999997,0.035983023,-0.5878949229999999,-1.064871363
Well the job is not giving her practical experience it is cutting into her study time and school is more important  the postives are that it get her a lot of money    so the cons out weigh the pros and she should quit and find a new job to get her experience in pre-med even though she might not make enough money it would pay off in the end because it would be easier for her to find a job in the future as well as getting into med school.,Clara,test,91,0.8092617392539978,-0.406441651,0.3673657,-0.513920413,-0.08780198,0.64464146,-0.5610115,-0.7738073510000001,-1.051083111,-0.426118433,0.04709108699999997
"the only solution to clara's problem in my opinion is to quit her job, or ask for a reduction in hours. school is always the most important in the long run.",Clara,test,32,0.796302318572998,-0.406441651,-0.37755144,-1.175708071,-1.2024702,-0.37925664,-0.83588916,-0.028890211,-0.02718501100000003,0.02676212899999996,-0.33981891100000006
Clara needs to talk to her managers about how her school work is slipping because her class load is very difficult and her amount of work hours are effecting her grades and the future of her career in being able to get into the medical school in the coming year.,Clara,test,50,0.7979981303215027,-0.470693177,-0.31438518,-1.175708071,-0.6175519,-0.1139467,-0.44854006,-0.15630799700000003,-0.356746477,-0.558156171,-0.7271680110000001
Clara should form a study group with people in her classes. Study group are a good source of outside information that help to quicken the learning process. It would allow her to continue to work her job and keep her full time student status. She could also look for a job that is more closely related to her field of choice that gives her a desired pay and hours similar to or more fitting to her schedual. A job in a career field similar to the one she is interested in and attending classes will give her the hands on experience she desires. It may very well help her in her studies because she will be exposed to real life situations and the more often she experiences the material the more familiar it will become.,Clara,test,135,0.8018459677696228,1.585608143,1.218853,0.902592265,1.3331459,1.0279995,1.1915227,0.366755143,0.557608643,-0.4305536350000001,-0.28893043499999993
manage her time better and have fun every once in awhile to relieve stress and refresh. If all else fails put off med school for awhile and concentrate on work and get experience and then go back to med school. Take a break and travel around the world. Experience new things before getting serious about your future goals.,Clara,test,58,0.8037969470024109,-1.370340784,0.076523796,1.610848605,0.26269552,-0.49939516,0.22757228,-1.44686458,-0.870945624,1.348153085,1.383276325
"Clara should quit her architectural job and focus on medical school. A architectural design firm may be good money and enjoyable but it is not something she wants to do when she graduates. I think she should quit, focus on school and with her spare 25 hours a week she can either volunteer at a hospital or find a job in the medical field that will be beneficial for her after she graduates. At a hospital she will be able to meet many people in that field and start to network. If money is a issue, take a loan out from school, apply for scholarships or grants. With the money she makes after getting out of college that loan will not seem such a big deal.",Clara,test,126,0.8009539842605591,1.585608143,1.1815557,0.378019398,1.1744621,1.2226912,0.78181607,0.4040524429999999,0.3629169429999999,-0.796442702,-0.403796672
"Clara should see if there are available tutors to help her with the classes she is struggling with.  If that doesn't work, she should find a new job that is more flexible.  Her future as a doctor is at stake so thats more than worth it to quit a well paying job for a lesser wage.",Clara,test,57,0.8023204803466797,0.557457483,0.15130527,0.672440113,0.2617694,0.023305256,0.5609966,0.406152213,0.534152227,0.410670713,0.111443513
"Clara needs to really think about which of these is more important to, and realize that she may have to take less time at her job if she wants to make it through school.  College should be her top priority since it will help shape the rest of her future. Perhaps she could discuss her problem with her boss at work, and maybe work fewer hours some days. This could give her added study time so she would then be able to keep her job while still getting good grades in school and pass her classes.",Clara,test,96,0.7988297343254089,0.493205956,0.7978852,-0.513920413,-0.21039048,0.6447243,0.03022183,-0.30467924399999996,-0.15151834400000003,-0.30352993300000003,-0.544142243
SOUNDS TO ME LIKE SHE SHOULD SWITCH MAJORS TO DESIGN AND KEEP WORKING FOR THAT PLACE.,Clara,test,16,0.7987265586853027,-1.498843837,-0.69446343,1.380696453,-0.78794557,-1.0316247,-1.0618478,-0.8043804069999999,-0.46721913699999984,2.1686420230000003,2.4425442530000003
"Clara should talk to her boss about possibly working another job at the company like a receptionist, that would allow her some time during work hours to get some school work done. If that is not possible, she may need to consider taking a leave of absence from her job until that quarter is complete, so that she can focus specifically on her studies.",Clara,test,64,0.7937475442886353,0.493205956,0.8723918,-0.283768261,0.27600884,0.57879204,0.3775618,-0.3791858440000001,-0.08558608399999995,-0.559777101,-0.661330061
"Clara needs to decide if her job i worth failing two of her classes that she needs for school and If she needs that job, she should cut back her hours.",Clara,test,31,0.7765951156616211,-0.470693177,-0.5721586,-1.175708071,-0.86488444,-0.5192776,-0.33850354,0.10146542299999994,0.04858442299999999,-0.3108236310000001,-0.837204531
"work on Friday, Saturday, and Sunday and dedicate her self to school Monday-Thursday",Clara,test,14,0.7643645405769348,-0.962532063,-0.76062113,0.424488078,0.55293894,-0.5582297,0.39053485,-0.20191093300000007,-0.404302363,-0.128450862,0.033953228
"Funny, cause I am in about the EXACT same situation. But, what I would suggest is maybe trying to talk to her family and see if they will help out financially so she can concentrate on school.",Clara,test,37,0.8022807836532593,-0.470693177,-0.031952146,0.902592265,-0.08511563,0.36463028,0.320044,-0.438741031,-0.835323457,0.987707895,0.582548265
"Depending on how stressed out Clara is she has a few different options. If she is very stressed out she can either see if her current job would allow a leave of absence or possibly quit and find a new one, because her job really doesn't relate to her major. If she found a job that was more related to her pre-med major it might end up helping her become more knowledgeable in her current classes.",Clara,test,78,0.7977250218391418,0.557457483,0.34755474,-0.035816226,0.21704811,0.51504064,-0.041300036,0.209902743,0.04241684299999992,-0.25286433599999997,0.00548380999999999
She doesn't have a problem.  She is only working 25 hours and she is only taking 15 hours.  Yawn.  She needs to study harder or move back in with her parents.,Clara,test,32,0.7811231017112732,-1.498843837,-0.45238438,0.424488078,0.69726074,0.29069072,0.59234667,-1.046459457,-1.789534557,-0.27277266200000005,-0.16785859199999997
Ask for less hours and if she can't get it quit the job and get a job in her future career field.,Clara,test,23,0.7724800705909729,-0.406441651,-0.07924971,-0.881287356,-0.8878176,-0.076287866,-0.7456005,-0.32719194100000004,-0.33015378500000003,0.00653024400000001,-0.13568685599999997
"Try to work something out with your boss, where you work on weeks that school does not require as much from you and don't work on the weeks where you have tests or big quizzes. Also, maybe take a semester off and focus on school since it is supposed to be your main job it deserves more of your time.",Clara,test,61,0.8003706932067871,-0.406441651,0.32826406,0.240804607,0.71027297,0.49696875,0.42180595,-0.734705711,-0.903410401,-0.469468363,-0.181001343
work less at job,Clara,test,4,0.661503255367279,-1.434592311,-1.3764628,-1.589543695,-1.363205,-1.4236332,-1.3736005,-0.05812951099999997,-0.01095911100000002,-0.22633869499999992,-0.21594319499999992
She should cut back her hours at work.,Clara,test,8,0.7251471281051636,-0.942753425,-1.0169873,-1.359391543,-1.5522923,-1.0848672,-1.3771995,0.074233875,0.1421137749999999,0.19290075699999987,0.01780795699999982
Clara should probably get a different job that is involved with what she wants to be when she graduates. A job that requires less hours and pays about the same.,Clara,test,30,0.788669228553772,-0.470693177,-0.15652482,-0.697603884,-0.5225249,-0.5193573,-0.39483365,-0.314168357,0.048664123,-0.175078984,-0.30277023399999997
Clara could get a job within the medical field to help her get experience for when she goes to medical school and later on in her career. This may also end up helping with her classes and use what she is learning in her classes with her job.,Clara,test,48,0.7712037563323975,-0.470693177,0.046953455,-0.219499697,-0.30395913,-0.49253967,0.029143529,-0.517646632,0.02184649299999996,0.08445943300000003,-0.248643226
Clara could talk to her boss about giving her less hours. she could also get a tutor that could show her some study techniques that could help her study better. She could study bits and pieces and at the end of the week put it all together. Also work out a time table to really see how to better manage her time that way she can study more productively. She could even try to see how she could use what she is learning at school at her workplace and vice versa. come up with games that would jog her memory when studying and use them to implement her studies in her everyday life.,Clara,test,113,0.7891835570335388,1.585608143,0.926112,1.564379924,1.5672064000000001,1.0474763,1.4794452,0.6594961429999999,0.5381318429999999,-0.00282647600000007,0.08493472400000002
"Try to talk to the difficult courses' instructors, ask them to give Clara much time.",Clara,test,15,0.7697176337242126,-0.942753425,-0.33970714,-0.467451732,-0.038898386,-0.026530072,-0.12784794,-0.603046285,-0.916223353,-0.428553346,-0.339603792
Cut hours or quit the job.,Clara,test,6,0.7334437370300293,-0.406441651,-0.48320752,-1.359391543,-1.3382173,-0.4369851,-1.324966,0.07676586899999999,0.030543449,-0.02117424300000014,-0.034425543
Ask the employer if she can work less hours. If she still needs money for school then she should try and apply for scholarships or become a T A which pays for a lot of your tuition if not all.,Clara,test,40,0.7856073975563049,0.085397235,0.35649276,0.902592265,0.6397235,0.33746466,0.48675433,-0.271095525,-0.252067425,0.262868765,0.415837935
Clara needs to create a time management schedule and be strict about her time.,Clara,test,14,0.7671524882316589,-0.942753425,-1.0030501,-0.697603884,-0.28149632,-0.98834467,-0.8157537,0.06029667500000002,0.045591245,-0.41610756399999993,0.11814981600000007
"Eventhough Clara enjoys her job & the pay is good, her priority needs to be her education & getting good grades for med school.  She needs to spend most of her time & energy studying & developing skills important for successful entrance into med school.  If possible, she should give up her job & hopefully find alternative means of financial support.   Realistically though, she could perhaps work fewer hours &/or find work that is more appropriate for her major. Her focus should be on her education & getting excellent grades. Clara needs to focus on her goal of medical school & the best way to achieve it.",Clara,test,100,0.7992744445800781,0.57723612,0.62659025,-0.513920413,-0.073537566,1.0180119,0.115917966,-0.04935412999999999,-0.44077578000000006,-0.440382847,-0.6298383790000001
she should just wake up earlier or take her stuff to work to study or go to bed later,Clara,test,19,0.7323250770568848,-0.942753425,-1.0184896,0.010652455,0.21804719,-0.53509545,0.6132103,0.07573617500000007,-0.407657975,-0.207394735,-0.602557845
Clara should look into getting a new job that may be used for her resume that will benefit her for her future. She should get tutoring or talk to her teacher for extra help. If these are not possible she should talk to her boss about cutting her hours.,Clara,test,49,0.7876607775688171,1.521356616,0.44750714,0.672440113,0.48819777,0.38315636,0.48128834,1.073849476,1.1382002560000002,0.184242343,0.19115177299999997
"Clara should find a new job that allows her more time to study, especially since the job she has doesnt offer her any experience in the field of work she is interested in. Maybe she can find a job as a gopher at a medical office or hospital, they may be more accustomed to working with med students and will understand her time constraints.",Clara,test,64,0.7900225520133972,0.493205956,0.2500977,-0.035816226,0.18344513,0.31144264,0.09297355,0.243108256,0.181763316,-0.219261356,-0.128789776
"I have the same problem right now. Anyways med school is very competative, she needs to think of the long term rewards which comes after she completes med school. She can talk to her boss at work and try to decrease her hours if possible otherwise take a leave of absent or vacation and if they don't allow that then she must quit. Education comes first.",Clara,test,67,0.8133350014686584,0.557457483,0.22160293,-0.513920413,-0.44610873,0.5236041,0.040614728,0.335854553,0.03385338299999996,-0.06781168300000001,-0.554535141
she needs to talk to her employer about getting her hours cut.,Clara,test,12,0.7472432851791382,-0.942753425,-1.3402619,-1.175708071,-1.2053316,-0.6278901,-1.324508,0.39750847499999997,-0.314863325,0.02962352899999998,0.14879992899999994
"Clara should ask to work fewer hours at the Architecture Firm.  If she is currently working 25 hours, cutting down to 20 hours would not be that big of a pay cut.  She should then set aside the additional five hours as dedicated study time.",Clara,test,45,0.7977385520935059,0.493205956,0.39954278,-0.513920413,0.124346495,0.48926064,0.07856974,0.093663176,0.00394531599999997,-0.6382669080000001,-0.592490153
"Clara needs to work less hours at work because having good grades and attempting to get into med school is the most important thing.  Who cares if her job she has now pays decent, she needs to finish her schooling so she can make a lot more later when she graduates.",Clara,test,51,0.7968471050262451,-0.470693177,-0.053736858,-1.175708071,-0.4973763,-0.4470326,-0.5016286,-0.416956319,-0.02366057700000001,-0.6783317710000001,-0.6740794710000001
"I would see if you can get any hours cut back at work, but if you can't i would bring some of your study materials to work and get as much in as you can in on breaks..or even at times when you have nothing to do at work..that way you can fit both in at the same time.",Clara,test,62,0.7940851449966431,0.557457483,0.4478098,0.194335926,0.34113052,0.58168674,0.4417276,0.109647683,-0.024229257,-0.146794594,-0.247391674
"Solution 1: Clara could choose a combination of hours that could allow her to maximize her study time at her current job.  (ex. she could work 8.5 hours on Saturday, and 3-4 hours on the other days of the week, etc).  She should meet with her manager and describe her concerns.    Solution 2: Clara could find work at a similar job at a local hospital, which would also help bulk up her resume for when she has to apply for a job in the medical field.  She may easily be able to find another part-time position that gives her more experience in her desired field.    Solution 3: Clara could see if her college has any job postings listed.  A lot of times they will have different jobs that are very flexible with the student's schedule.    -Clara shouldn't drop any of her classes, and should make school a priority.",Clara,test,153,0.8065502643585205,1.585608143,1.6075003,0.424488078,1.1268215,1.5891056,0.9166696,-0.02189215700000013,-0.00349745699999992,-0.7023334219999999,-0.492181522
"Clara either needs to put in a request to see if she can work less hours, or she needs to change jobs and find one that doesn't require as many hours.",Clara,test,32,0.7904097437858582,-0.406441651,-0.13939872,-0.697603884,-0.09644957,-0.29055616,0.035905432,-0.267042931,-0.115885491,-0.601154314,-0.7335093159999999
on weeks that she has more school load she should work less,Clara,test,12,0.7493435144424438,-1.434592311,-0.8119754,-1.129239391,-0.95338637,-0.6114793,-0.89035076,-0.622616911,-0.8231130110000001,-0.175853021,-0.238888631
"If she can't balance work and study life, then there seems to have a choice to make by her. But if she doesn't want to quit her job, I'd suggest her to talk to her boss at work, is it possible that she can share her position with someone else, take home the work, or work more during her semseter breaks.  For pre-med courses, these are solid knowledge and will be applied a lot in the future, so I suggest her not to take any ""creative"" means but to get down and study for them.",Clara,test,99,0.8129839897155762,0.557457483,0.7409401,0.25860449,0.6251202,0.70622164,0.3040745,-0.183482617,-0.148764157,-0.36651571,-0.04547001
"I think that if Clara likes her job she should try to cut back the hours.  School is very important, but having a job she enjoys is also important.  The first option would be to cut back hours.  If that cannot be accomplished then I would suggest dropping one class and taking it during the summer.  My third option, would be to quit the job.",Clara,test,65,0.8001262545585632,1.585608143,0.46595383,-0.035816226,0.18133,0.5814143,0.4600913,1.1196543129999998,1.004193843,-0.217146226,-0.495907526
Clara needs to take school and put it at the top of her list. It needs to be her first priority and be the one thing that takes up most of her time. She needs to either cut back on her hours at work or quit her job all together for a while so she can get her school work together and on track because if she can't graduate on time she can't get the job that she really wants in the field that she is studying in right now. The future job she can get in the future is more important because she can earn more money that way.,Clara,test,112,0.7893924713134766,-0.406441651,0.7222814,-0.513920413,-0.25330773,0.6733455,-0.22353417,-1.128723051,-1.079787151,-0.260612683,-0.29038624300000004
"I would help Clara apply for scholarships, start applying for jobs that related to her major and start working more weekends at her current job.",Clara,test,25,0.7764875888824463,-0.406441651,0.09879854,0.194335926,0.57378036,0.4964893,0.3261199,-0.5052401910000001,-0.902930951,-0.379444434,-0.13178397400000005
"she's better to focus on the most important thing for her . if she doesnt want to drop class and also want to need that job , it would be she's not doing well either her class or her job . what i suggest is clara need to choose one of them , i think her coueses more important",Clara,test,57,0.7959974408149719,-1.434592311,-0.5912004,-1.359391543,-0.61226624,-0.65915465,-0.60303295,-0.8433919110000001,-0.7754376610000001,-0.7471253030000001,-0.7563585930000001
"She could try working a few less hours and hanging out with friends less and using any available time, lunch break, bathroom breaks, right before bed, etc. to study",Clara,test,29,0.7964668273925781,0.557457483,0.3420917,0.424488078,0.6076576,-0.21056251,0.7571395,0.215365783,0.768019993,-0.18316952200000003,-0.332651422
She should work less hours.,Clara,test,5,0.7040951251983643,-0.942753425,-1.2406323,-1.359391543,-1.3821663,-0.92755127,-1.4130234,0.2978788749999999,-0.01520215499999999,0.02277475699999986,0.05363185699999984
"Write condensed version of her notes onto pieces of paper she can keep in her pocket and whip out whenever she has an extra few minutes to study. Look for ways to relate her studies to the real world, and point it out to someone when she does notice an instance of something she is studying. Make friends and study with them.",Clara,test,62,0.7999040484428406,-0.406441651,0.16761416,1.086275737,1.5153207,0.40659496,1.1954173,-0.574055811,-0.813036611,-0.42904496299999995,-0.10914156299999989
"She should look to see if she could get a job at a local hospital or doctors office or clinic. This way, she will be getting experience that she needs for med school, she will be sure it's what she wants to do, and she may be studying a little while she works. Even if the pay is not as good, the hours may be better and it will be more helpful for her choice of career.",Clara,test,78,0.7817977666854858,0.493205956,0.04175384,-0.035816226,-0.12934272,0.4778661,0.06496249,0.451452116,0.01533985599999998,0.093526494,-0.100778716
She could talk to her boss about her situation and see if her boss could cut the amount of required work hours. Or she could come up with a schedule to manage her time better,Clara,test,35,0.7772170901298523,0.085397235,0.1043959,-0.697603884,-0.17272156,-0.5197636,-0.68674356,-0.01899866499999999,0.605160835,-0.524882324,-0.01086032399999992
"It seems clear that Clara needs to find another job. Her priority is school and if she wants to get into med school she has to have excellent grades in order to compete for a spot. An ideal job would be one that allows her some time to study while working, while also gaining practical experience. She should apply at local hospitals and clinics for a part time job that would give her practical experience and perhaps more time to study.",Clara,test,81,0.7942957878112793,0.557457483,0.85094243,-0.035816226,0.06645392,0.8294932,0.15058926,-0.29348494700000005,-0.27203571700000007,-0.102270146,-0.186405486
Clara should talk with someone at her job and see if it is possible for her to work less hours.  If that is not a possibility it would probably suit her best to quit her job and focus on her school work.,Clara,test,42,0.7813015580177307,0.085397235,0.23330048,-0.697603884,-0.6767203,0.115785405,-0.7713718,-0.14790324500000002,-0.03038816999999999,-0.0208835839999999,0.0737679160000001
"clara can make flashcards and study during her free time or at lunch at work. she also needs to work on her time management. she should make a weekly schedule, and cut out all of the unnecessary things. she should then plan accordingly for her job and school. she may want to consider taking less hours at work to focus on her studies. she should draw out pictures to help her study and label them. she can quiz herself at work. she could also doodle at work and draw the parts of the human body, animal bodies, etc. and quiz herself. she could also print out pictures from online and label them during work. she can make up songs and melodies to help her the parts of the body for example.",Clara,test,131,0.7951304912567139,1.521356616,1.1440698,1.978215548,2.004481,0.9563107,1.9563848,0.377286816,0.5650459160000001,-0.02626545200000007,0.02183074800000017
"Personally, I think that Clara should drop the pre-med major and go for one in architectural design since she likes her job, but it doesn't appear like she wants to do that.  First of all, Clara needs to plan out how she's going to go to work and study during her weeks/weekends.  I would suggest that she work as much as possible during the weekend so that she can get some of her 25 hours/week out of the way.  Say that she works seven hours a say on Saturday and Sunday, Clara would have 14 out of her 25 hours already done.  Now all she has left to work during her week is 11 hours.  She could split those hours up so that her schedule looked like this:  Monday - school, work for 4 hours, study  Tuesday - school, no work, spend the time that you now have from not working for studying  Wednesday - school, work for 4 hours, study  Thursay - school, no work, spend the time that you now have from not working for studying  Friday - school, work for 3 hours, study (since she only has to work 3 days on Friday, Clara could have an hour of free time - YAY!)  Clara also needs to make sure that there are as little distractions as possible when she's studying so that she can make the most out of her study time.  And that's how I would solve Clara's problem!  :)",Clara,test,245,0.8141034841537476,1.049296368,0.852544,0.902592265,1.0804381,0.6641335,1.1804286,0.19675236800000007,0.385162868,-0.17784583500000006,-0.27783633499999993
"Clara needs to dump her boyfriend.  I'm assuming she signed up as pre-med knowing that it would be extremely difficult and time consuming.  Lose the dude, stop going to the bar, and lighten up your load with some summer classes.",Clara,test,42,0.8267136216163635,-1.434592311,-0.3866136,1.978215548,0.20115829,-0.46351814,-0.01777873,-1.047978711,-0.971074171,1.777057258,1.995994278
Listen to to recordings of notes or lectures.,Clara,test,8,0.7128047943115234,-0.942753425,-1.0651727,0.60817155,0.50992316,-1.4795032,0.9049747,0.12241927499999994,0.5367497749999999,0.09824838999999996,-0.29680315
She should quit her job or cut the hours and take out student loans to make up the difference in financial loss.,Clara,test,22,0.7996757626533508,0.085397235,0.5659204,0.010652455,0.4766097,0.40746838,0.20495202,-0.480523165,-0.322071145,-0.465957245,-0.194299565
"She should look for another job that is in the field that she wants to go into.  That way, she is getting practical experience with her job and furthering herself in her field.  It also might help her with school work, getting real life experience.",Clara,test,45,0.7662836909294128,-0.470693177,-0.06803629,-0.697603884,-0.4415805,-0.047296613,-0.5830932,-0.402656887,-0.423396564,-0.25602338399999996,-0.11451068399999996
Take a leave of absence from work to focus on school.,Clara,test,11,0.7204566597938538,-0.470693177,-0.22294945,-0.881287356,-0.50183064,-0.5020372,-0.77509624,-0.247743727,0.03134402299999994,-0.379456716,-0.10619111599999996
