ID,Story,FacScoresQ,FacScoresO,Dataset,ProblemID,set,ID.1,wordcount,peerDSI,promptDSI,DSI,QwenDSI,bgeDSI,wordQwenDSI,wordbgeDSI,promptCosDis,peerCosDis
21,"I would advise Becky to write an anonymous letter to Mark regarding Jim's behavior. In doing so, Mark will not have proof of all the accusations, but will have the heads up to watch him closely and give him a warning about the threat to his job. This willhopefully allow Jim to see the seriousness of it yet not lose his job so Becky gets the benefit.",1.39562491,0.460172229,RLPS1,Becky,training,98,68,0.81914359331131,0.824725985527039,0.80852210521698,0.424590587615967,0.403103679418564,0.26466578245163,0.38555982708931,0.7254157066345215,0.2776651978492737
22,Becky is very lucky to be able to be working for Mark because her past history of shoplifting. The right thing for her to do would be to talk to Mark. He is going to find out that the pizzas were stolen when he sees that there is no money made with lots o ingreidents gone. Mark may assume it was Becky because of her past. So she should talk to Mark and tell him what is going on.,0.107464015,-0.743086137,RLPS1,Becky,training,5,79,0.817233324050903,0.819882154464722,0.806171953678131,0.48783951997757,0.439579725265503,0.249159961938858,0.37385281920433,0.6610162258148193,0.35500502586364746
23,Becky should talk to jim privately and try to convince him that he should change his work attitude.  She should explain that him losing his job would affect both of them as they would not be able to afford their monthly rent if he lost his job.,0.107464015,-0.743086137,RLPS1,Becky,training,254,47,0.809448182582855,0.813844382762909,0.784251630306244,0.519521236419678,0.410350143909454,0.257936775684357,0.363472461700439,0.6907109618186951,0.2867608964443207
24,If I were Becky I would write a not to Mark explaining the problems with Jim. In the letter I would state the fact that I do not want Jim to know that I was writing the letter. Then I would leave the letter on Mark's desk and let him handle the problem.,-1.411283851,0.460172229,RLPS1,Becky,training,80,54,0.816980421543121,0.823810994625092,0.790362477302551,0.437839597463608,0.380668491125107,0.2453972697258,0.368904113769531,0.5145639181137085,0.3665342628955841
25,"Becky should first discuss this with Jim, and tell him that he needs to either pay for the pizzas or he needs to go to the boss, and admit what he has done.  He will get caught in the end because eventually the ingredients will be missed.  The boss may unerstand, and perhaps will allow him to work off the pizzas somehow.  Maybe he could help out cleaning up around the restaurant.  If Jim will not tell his boss Becky should tell him.  She wouldn't necessarily have to come right out and tell on her coworker she could come up with a way for the boss to catch him at it.  If he does it once Jim will more than likely do it again.  She could tell the boss to check on the inventory.  She could have other people who might have been at the party come tell her boss bout it.  If all of that fails, she should just tell Mark about Jim stealing the pizzas.",0.934450968,2.34903445,RLPS1,Becky,training,189,168,0.821396470069885,0.826623857021332,0.815864443778992,0.495084553956986,0.41952845454216,0.265205025672913,0.373990297317505,0.800633430480957,0.3132175803184509
26,I would tell Jim to stop stealing from the company because if he gets caught then we would be out rent money. if the behavior didnt stop then i would go to mark and explain the situation with him and see if having a conversation with Jim would curve the bhavior. if not i would start looking for  a new roommate with whom i didnt work with.,0.934450968,0.460172229,RLPS1,Becky,training,112,67,0.823115766048431,0.828784346580505,0.814712643623352,0.447248607873917,0.352950721979141,0.255861312150955,0.369216173887253,0.7721459865570068,0.340222030878067
27,Becky should talk to Jim and tell him how she feels about the situation. If Jim continues to steal then I think Becky has no other choice other than to tell Mark,-0.353709927,-0.484258882,RLPS1,Becky,training,290,32,0.813856065273285,0.819234848022461,0.798121571540833,0.291794538497925,0.253100752830505,0.251209437847137,0.377157777547836,0.6664589643478394,0.2686956524848938
28,I think that Becky should talk to Jim about the whole thing. If he is as good of a friend as she thinks he is then he should understand. Plus it sounds like Mark likes to give second chances. If Jom confesses or pays for them I think that Mark will be undrstanding.,1.39562491,-0.764225588,RLPS1,Becky,training,250,53,0.821111261844635,0.827302038669586,0.807518541812897,0.569394886493683,0.471719890832901,0.250423222780228,0.381979078054428,0.5789492130279541,0.315681517124176
29,"Becky should report what happened the night when her and Jim were at the pizza place alone. By not telling Mark, she is putting her own job at risk. By telling Mark, he can be the one to confront Jim and Becky doesn't have to say anything directly to Jim.It is Mark's job to handle his employees.",-0.123122956,-1.023052843,RLPS1,Becky,training,71,60,0.819673299789429,0.821399688720703,0.813755810260773,0.407792061567307,0.375400274991989,0.269383430480957,0.386188626289368,0.690243661403656,0.2939746379852295
30,If I was Becky I would submit an anonymous letter to the pizzeria. I would say in the note that there was some stock items missing that were not made up for through the profit of the pizzeria. That way no one knows it was Becky who told on Jim. And if Jimlooses his job he would have to find another and still pay the rent.,-0.123122956,0.460172229,RLPS1,Becky,training,316,66,0.829412341117859,0.831550896167755,0.81805020570755,0.610887944698334,0.509524405002594,0.251028746366501,0.375859618186951,0.6529576778411865,0.377284437417984
31,"There are several options to this problem. First, I would tell Becky to find a different job.  If this was not possible, I would try to get Jim caught in the act if at all possible.  Nobody likes a tattle-tale, but if he was caught red-handed it would be  must for him to find a different job.  If he was not caught, stipulations that Becky was the one stealing might appear because she has a record of it.",-0.353709927,0.718999483,RLPS1,Becky,training,64,80,0.8246950507164,0.830530047416687,0.813132584095001,0.562244296073914,0.460351854562759,0.257941246032715,0.37682232260704,0.7308042049407959,0.30883458256721497
32,well the thing that becky needs to first think about is the consequences that will happen if mark finds out what jim is doing and that becky did not stop him or tell mark.  She also needs to think of if her job or friendship is more important and what shereally wants to do before she takes action.  what becky could do is to confront Jim first before going to mark and tell jim that his behavior is wrong and he should stop then if jim does not listen she would then need to go to mark and be honest especiall for everything mark has given her.,-0.353709927,-0.484258882,RLPS1,Becky,training,337,107,0.816019237041473,0.824896454811096,0.802892208099365,0.417336702346802,0.328830420970917,0.247067600488663,0.369351774454117,0.6220136880874634,0.31194135546684265
33,"Becky probably doesn't want to just confront Jim about how his stealing at work is bothering her.  It actually probably only really bothers her becuase she doesn't want him to get caught and get fired becuase then he wouldn't be able to pay the other partof the rent.  What she should do is convince jim that she over heard Mark talking on the phone to the store manager about how they are about to install small security cameras in the ceiling so they're completely unnoticable becuase Mark has noticed a shor in supplies.  By doing this, Becky will hopefully scare Jim into not stealing from the pizzaria anymore without getting on his bad side.",-0.123122956,2.090207195,RLPS1,Becky,training,350,118,0.83344304561615,0.838166952133179,0.836307466030121,0.392683237791061,0.368273615837097,0.275884240865707,0.394960552453995,0.7689903974533081,0.278935045003891
34,"I believe that Becky needs to worry about herself first and foremost. If Becky's manager finds out that she knew all along about Jeff and did not say or do anything, she could be in trouble as well, and she already has a mark on her record, and her boss s trusting her to be more responsible. She needs to prove that she has changed and is a better person. Since Becky is so worried about Jeff making his rent, I think that first, Becky should tell Jeff what he's doing is wrong. She should warn him that if h does not change she will tell their boss, Mark about everything. Another option Becky should use is helping Jeff to find another job so he can still pay his rent, and persuade him that the right thing to do is to fess up to their boss. If their boss doesnot accept Jeff's honesty and apology, he may be fired, so he should have another job lined up. Becky should tell Mark she knew about Jeff's actions and is the one that persuaded him to come forward. If Becky does not do anything to stop this, the busines, as well as her job could be in jeopardy.",1.165037939,0.460172229,RLPS1,Becky,training,346,210,0.816748559474945,0.821610689163208,0.810169696807861,0.419972538948059,0.374881476163864,0.261811584234238,0.381819695234299,0.6550590991973877,0.34736454486846924
35,"I think Becky should bring up the problem with Jim before she talks to the boss about it. She could tell Jim that she is not happy with some of the work qualities he has been performing, and that she does not think it is right that he is stealing from hisplace of employment. She should make it very clear to Jim that if the problem continues to happen, she will have to turn him in because that is the ethical thing to do. For the roommate situation, I think she should try and get a new roommate, because shecannot trust him. If he steals for the place of employment, he would probably steal from his roommate as well.",2.683785805,0.606982123,RLPS1,Becky,training,122,119,0.815668642520905,0.821540296077728,0.807811796665192,0.45606917142868,0.411044418811798,0.24846339225769,0.374226748943329,0.7009159922599792,0.338065505027771
36,"Becky should talk to mark and inform him about her Jim's behavior at work. She should suggest that Jim pay for the ten pizza's  that he keep his nose clean and do his work. Otherwise his job will be in danger. Even though Becky is friends with Jim, and sh needs him there to pay for his share of the place, she has an obligation to her work to report stealing and laziness in other employees.  In turn the company will profit more and she may see some of that by receiving a raise or gratitude from the owner Mrk.",1.39562491,-0.078621733,RLPS1,Becky,training,257,102,0.817969977855682,0.818462252616882,0.811820864677429,0.514805436134338,0.430624574422836,0.259529203176498,0.378606289625168,0.8125557899475098,0.2637162208557129
37,"Becky should talk to Jim about his behavior, how it could hurt him, and reflects on her.",-1.641870822,-1.428689993,RLPS1,Becky,training,177,17,0.814559102058411,0.821591675281525,0.78845202922821,0.0,0.0,0.280823558568954,0.381473451852798,0.6493726968765259,0.26697203516960144
38,"Becky should first talk to Jim and tell him that she knows what he's been taking food from work without paying and give him the opportunity to tell Mark what he did and pay for the pizzas.  If he refuses to tell Mark, Becky should inform him that she is ging to talk to Mark.  If Jim is supposedly a good friend of Becky's and sees that she is upset by his behavior, he will confess to Mark and make ammends.  But if he decides not to confess, and be a jerk to Becky, then she should realize that he's not a god friend and not worth the worry he has caused her.",-0.584296898,-0.078621733,RLPS1,Becky,training,93,116,0.812973320484161,0.816741228103638,0.796774685382843,0.328458517789841,0.303027361631393,0.264514058828354,0.371770352125168,0.7465927600860596,0.2707180678844452
39,"I think a solution for Becky's problem is to talk to Jm about the problem.  It is wrong for Jim to steal pizza and treat customers rudely, Becky just needs to confront Jim about it.  Then Becky can keep Jim as a friend, Jim will still be employed, and shewon't be held responsible at her job.",-0.123122956,-1.281880098,RLPS1,Becky,training,85,58,0.816912531852722,0.818016886711121,0.80601441860199,0.298178523778915,0.378170967102051,0.283046871423721,0.388411790132523,0.8073714971542358,0.2748855650424957
40,"I would tell Jim not to do that anymore, and tell him that the manager is putting in cameras bcuase he thought he saw someone stealing from the store. I would try and scare Jim into not doing that anymore. I would also say that if he keeps doing this and ets caught, he will be fired and forced to move out.",-0.123122956,0.99896619,RLPS1,Becky,training,232,62,0.819353401660919,0.826919615268707,0.80623859167099,0.417475312948227,0.337398767471314,0.251349329948425,0.379966467618942,0.7206963896751404,0.3966546356678009
41,"Becky needs to find a new roommate!

This is a tough situation. Unfortunatly becky needs to own-up and be a committed and faithful employee. If she choses to do nothing she will likely lose her job. If this is a small buiness, then the missing stock proobly has not gone unnoticed. She needs to speak to her manager directly! From what it soulnds like is the manager in uderstanding and compassionate. Together they could work out a plan to catch the theiving emplyee, Jim, red handed. This would allow Beckyto remain anonymous, and would also let the employer know what is going on. A secondary outcome that this would produce is repore with the manager. Having trust in the people that you employ would be a great feeling for the manager, and would build their elationship at thie establishment in a positive way.",1.165037939,0.327015416,RLPS1,Becky,training,204,144,0.830674946308136,0.835173785686493,0.828637421131134,0.545025229454041,0.458884388208389,0.270635277032852,0.382479161024094,0.7031975984573364,0.33536770939826965
42,Becky needs to have a talk with Jim first and tell him that if he does it again she is going to have to tell on him. If Jim proceeds to do it again Becky needs to tell her boss. And probably find a new roommate.,-0.353709927,0.313362334,RLPS1,Becky,training,313,46,0.803341805934906,0.808513164520264,0.775672614574432,0.453059673309326,0.351609975099564,0.255603224039078,0.359110504388809,0.6750310063362122,0.25940680503845215
43,"Talk to Jim and the manager to set up a meeting to see what they can do about Jims behavior at work, maybe Jim wants something, like a pay raise, or benefits.  Becky needs to tell Jim to stop acting like this or he will have to move out of their house/apatment and Becky will find a new roomate, because if he doesnt stop he will be fired and will not be able to afford rent.",-0.584296898,0.460172229,RLPS1,Becky,training,9,77,0.817337334156036,0.821093142032623,0.805838167667389,0.329850435256958,0.223025679588318,0.257213205099106,0.376555889844894,0.7632225751876831,0.28126466274261475
44,"I think a good way for Becky to tell her boss about whats going on without letting her friend know it was her that told on him, is to tell the manger to check the security tapes. That way when the boss knows what happened and confronts Jim with the proble he can say that the he checks security tapes and that no one told him about what happened he figured out by himself.",-1.641870822,0.460172229,RLPS1,Becky,training,191,74,0.822691082954407,0.830112934112549,0.809192895889282,0.433773458003998,0.197429358959198,0.253365099430084,0.383717477321625,0.579389750957489,0.34856072068214417
45,"I believe that Becky needs to first confront Jim about the problem, telling him that if he doesn't say anything to Mark, that she will.  But also explain to Jim that it is because it is the right thing to do. Not because she wants to rat him out.",-1.872457793,-0.337448988,RLPS1,Becky,training,143,50,0.805092930793762,0.813287794589996,0.775951147079468,0.523513972759247,0.465430587530136,0.247035428881645,0.375675410032272,0.6238157749176025,0.2833845615386963
46,"The first thing I would do is talk to Jim and explain what a bad situation his actions are putting her in.  If he still doesn't stop she should tell, if for no other reason than to cover her butt.  She is worried that Jim may get fired and not be able to ay his part of the rent, but if the boss thinks she is involved then she will get fired too.  Since she had such a hard time getting a job and this person has been so kind to her, she wouldn't want him to think that she was ungrateful or that she was steaing.  If Jim did get fired or didn't want to be her friend, it would be easier for her to find a roommate to take over for him, than it would be for her to find a new job and move out of her place.  She would then be forced to breark a lease which would b more money that she didn't have if she lost her job.",0.703863997,-0.078621733,RLPS1,Becky,training,44,178,0.819169759750366,0.825190782546997,0.811001479625702,0.448637127876282,0.383793205022812,0.242728367447853,0.366336494684219,0.7010525465011597,0.36107882857322693
47,Becky can talk to Jim about how he is feeling. If Jime does not feel like he did anything wrong and steals again then Becky can tell the manager.,-0.353709927,-0.484258882,RLPS1,Becky,training,16,29,0.819702863693237,0.822771906852722,0.804745852947235,0.264449894428253,0.276720762252808,0.267136931419373,0.393614828586578,0.6909611821174622,0.2837860882282257
48,"One suggestion for Becky would be confronting Jim about her problem and concern before talking to Mark.  If Jim's behavior is effecting the way she can do her job she should tell him.  Also, with him being a good friend and her roomate she may want to tel him that she does not approve of his work ethic in a concerned friend way.  Jim needs to know that him stealing pizza is making her uncomfortable.  Maybe by expressing her concern to Jim it would get him to stop.  If Jim were to have a problem with her cncern, then maybe he would need to find another job.  It may not be healthy for them to be roomates and work together.  Becky should also let Jim know that him stealing pizza could also cost her the job also.  Having one roomate out of work for a brief peiod of time would be better than both of them losing their jobs.  If Jim continues with his behavior Becky should then tell Mark.",0.934450968,0.348154868,RLPS1,Becky,training,300,171,0.815847039222717,0.82038801908493,0.807200193405151,0.435862898826599,0.346291959285736,0.27223402261734,0.374183684587479,0.8231214284896851,0.25426140427589417
49,Becky should first confront Mark in person and let him know that what he did was wrong.  If Mark then proceeds to repeating his negative actions then Becky should let her boss know of the issues that she is concerned with including her roommate not havinga job and not being able to make rent.  If Mark fails to listen then Becky should try to find a new roommate and maybe her boss will employ Mark until she does so.,0.934450968,0.460172229,RLPS1,Becky,training,217,79,0.816193461418152,0.820223093032837,0.803638458251953,0.196051239967346,0.25042849779129,0.269851058721542,0.376697599887848,0.6535022854804993,0.33165818452835083
50,"Becky should confront Jim about his misbehavior and give him warning. If his actions do not stop, she should start looking for a new room mate. After finding a new room mate, Becky should tell Mark about what Jim has been doing and how he has been acting owards customers.",-0.584296898,0.460172229,RLPS1,Becky,training,91,50,0.820920526981354,0.823772490024567,0.808517634868622,0.367125004529953,0.321648687124252,0.28173440694809,0.387604027986527,0.7307935357093811,0.2462436407804489
51,"I think Becky should tell Mark that Jim is stealing all those pizzas, but she should explain her situation about the rent to see if there would be a way to punish Jim without firing him. Especially due to their situation, but if Mark chooses to fire him,  think Becky should ask some of her other friends to move in with because she wont be able to pay for the whole rent by her self.",1.165037939,0.460172229,RLPS1,Becky,training,329,75,0.818020105361939,0.820855915546417,0.809006631374359,0.196491360664368,0.235823690891266,0.264725118875504,0.378203094005585,0.7503373622894287,0.28070488572120667
52,"Becky should confront him about it. If it continues to happen, then she should talk to the boss because if he caught him, they could both lose their jobs if she didn't do anything about it which makes it worse because then neither of them would have rent oney. Jim would probably have an easier time finding a new job than Becky would since she has a record. Since the boss has been doing her a favor by giving her that job, she needs to do it well and do him a favor when he is being taken advantage of.",-0.584296898,-0.190639093,RLPS1,Becky,training,186,101,0.81607311964035,0.820124506950378,0.805321633815765,0.510176002979279,0.379308789968491,0.249660819768906,0.380084753036499,0.7439770698547363,0.29714617133140564
53,"What i would do is leave a note for the GM about what she has seen. Ask the GM to talk to the thief and give him one chance. If he doesnt listen to his one last chance then she needs to nicely ask him to move out or she needs to find a new place. She coul also talk to him and tell him that she did that when she was younger and it got her in a lot of trouble. She could say that she heard a rumor about what he was doing and the GM has to. Then she wount be suspected about rating him out, but the GM will kno whats going on. The choice is then up to the theif on what to do next",-0.584296898,0.460172229,RLPS1,Becky,training,124,130,0.817927777767181,0.82369339466095,0.807312488555908,0.470729738473892,0.420138597488403,0.245688006281853,0.371245741844177,0.5308554172515869,0.49614137411117554
54,"I think that Becky although she has made mistakes in her past knows ethically that telling her boss about Jim's behavior is the right thing to do.  She could also try talking to Jim about what she knows, this could stop him from stealing and he could possbly change his ways. However it could also cause a huge conflict.  I personally would talk to Jim first, if his antics continue Becky should do what's right for her employer and the company.",-0.584296898,-0.337448988,RLPS1,Becky,training,301,83,0.820223212242127,0.826930999755859,0.812856674194336,0.50470370054245,0.396895796060562,0.266571015119553,0.382491499185562,0.7360965609550476,0.28583016991615295
55,"Becky should explain to her roommate Jim her situation on how she needs this job and how it is so flexible with her schedule. She shouldn't accuse Jim rudely of anything just simply explain the situation and that she doesn't want it to ruin their friendshp or her ending up getting fired for letting employees act inappropriate or steal especially when she is the manager of that shift. 

Or if she wanted she could submit an annonymous email/letter to the pizza place as a customer comlaining about how rudey one of the workers was and just simply say it was a male and then maybe Mark the manager would talk to all of the males that worked there to scare him.",0.934450968,1.5166207,RLPS1,Becky,training,333,124,0.828810453414917,0.832854330539703,0.82675039768219,0.435250610113144,0.365225404500961,0.264545232057571,0.379576802253723,0.7572932243347168,0.3160060942173004
56,"Becky needs to first talk about the situation with her friend Jim before it gets out of hand. If he is not noticed for his bad behavior then he will continue to do it without punishment. Since Becky is in a sticky situation, it would be in her best interet to first talk to Jim about the situation and if he continues to do it then talk to her boss.",-0.353709927,-0.484258882,RLPS1,Becky,training,172,70,0.815160751342773,0.82038825750351,0.802195310592651,0.502891361713409,0.438852876424789,0.231190234422684,0.373205631971359,0.6846530437469482,0.2938576936721802
57,"If it were me, I probably wouldn't tell, but If I were Becky, I would tell because it could come back to haunt her. She could get fired if the manager finds out and she can't afford to not have a job.",-1.641870822,-1.428689993,RLPS1,Becky,training,268,44,0.815426588058472,0.821467757225037,0.792878806591034,0.624816417694092,0.431892871856689,0.27315279841423,0.378020346164703,0.48218387365341187,0.4364219009876251
58,"What Becky can do is talk to Jim about what he is doing and how it is causing her problems and it is annoying her. She needs to make sure Jim knows how bad of a problem this is. And if Jim's behavior doesn't change, or if it gets worse, then Becky needs t tell Mark what's going on so he can take care of it.",-0.584296898,-0.484258882,RLPS1,Becky,training,166,69,0.812477111816406,0.820117831230164,0.791504502296448,0.278836578130722,0.264280676841736,0.254720419645309,0.374504625797272,0.6533220410346985,0.2808677554130554
