solutions,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,fac_scores
"Becky should confront Jim first, asking him why he took the pizzas. After the discussion, she should suggest that Jim tell the manager what he did and pay for the pizzas. If Jim refuses to tell the manager, Becky should then notify the manager of Jim's acions.",3.3338685,3.276624,3.1940956,2.9794626,2.5463703,2.048453,1.3052123,0.84828395,0.51499057,0.3668823,0.3200892,-0.225431627
"talk to jim directly about the problem instead of involving the manager that way jim wont lose his job, and becky wont have to go behind jims back causing problems in the friendship.  if becky just explains the position he has put her in hopefully he willtry and fix his behavior problems.",3.086434,3.0282862,2.9456246,2.7421758,2.3396325,1.9194115,1.3026131,0.9750466,0.69710004,0.5720509,0.5365955,-0.743086137
"Becky should talk to Jim about what he is doing and tell him it is unacceptable. If Jim doesn't stop, then she should talk to Mark about it. Let Mark decide the final action.",2.9829493,2.8897789,2.7551265,2.4778237,1.9663364,1.4219153,0.7105733,0.3951232,0.25851375,0.22425976,0.24643505,-0.484258882
"Becky should first confront mark and let him know that she knows what's been going on. she should tell him it's wrong to steal and that he should stop. If he does not stop stealing, Becky should tell the manager and then the matter will deal with the issu.",2.7281759,2.6694455,2.5876772,2.4020667,2.0463026,1.7418563,1.3112175,1.1718317,0.97154695,0.87818736,0.8580402,-0.484258882
"Becky should tell Mark about Jim. Mark has given Becky the benefit of the doubt by giving her a job and working around her schedule. Jim is disrespecting Mark by making pizza's and taking them home. That is stealing from the company. Even though Jim is Beky's roomate, Becky should inform Mark of the current situation.",3.3707292,3.2995067,3.195844,2.9475555,2.4603314,1.8870118,1.0648838,0.5715815,0.27818626,0.15969813,0.13275976,-0.743086137
"becky should tell the manager the truth, if jim is unable to find another job then becky should find a new roommate. sooner or later the manager will suspect becky since she has had record of shoplifting in the past.",3.0539026,2.9911935,2.9018555,2.689807,2.2756722,1.8455741,1.2264954,0.9105524,0.65503746,0.54342604,0.51624286,0.313362334
"Morally the right thing for Becky to do would be to tell her boss. However, to be a good friend would to be not to tell on Jim. The only creative solution to this problem would to be to try and talk to Jim one on one. Give Jim the decision of whether or nt he wants Becky to inform their boss of what he has been doing. As a friend he should understand where Becky is coming from and want to take the strain off her.",2.525316,2.4454374,2.3329673,2.110268,1.707848,1.3748006,0.96098405,0.9029238,0.8176352,0.7909825,0.81128514,-1.023052843
Becky could pay for the pizzas herself - or at least half of them. That would help take some of the guilt away. She could also spend some of her free time trying to find a new job for Jim - one that he would like more. She could also just move to Italy an start a new life.,2.474235,2.4392283,2.3942742,2.276019,2.0382106,1.924993,1.7290137,1.7522652,1.5246904,1.3972571,1.351115,2.34903445
"Becky needs to talk to Jim and discuss his problems at work. While emphasizing how she doesn't want to, she will tell Mark about Jim's work-related problems if Jim does not cease. If Jim ignores her and continues, Becky should put an ad in the newspaper loking for a roommate because she will have to tell Mark about Jim's issues, otherwise it may look like she is the one that is stealing.",2.95975,2.8756425,2.7546902,2.4991717,2.0226865,1.5269246,0.8663643,0.5741286,0.41150182,0.35798305,0.36725655,0.460172229
Becky should trap JIm with his rudeness in front of their boss. This way she 's not pointing blame and Mark see's it with his own eyes.,2.6965935,2.6124227,2.4926715,2.251082,1.8102365,1.4011629,0.8788931,0.7253273,0.6185045,0.58740985,0.6073723,1.11098355
"I would advise Becky to write an anonymous letter to Mark regarding Jim's behavior. In doing so, Mark will not have proof of all the accusations, but will have the heads up to watch him closely and give him a warning about the threat to his job. This willhopefully allow Jim to see the seriousness of it yet not lose his job so Becky gets the benefit.",3.1502173,3.0872822,2.9971297,2.7794178,2.3513613,1.8884053,1.2176502,0.8506529,0.5755653,0.4563314,0.42561722,0.460172229
Becky is very lucky to be able to be working for Mark because her past history of shoplifting. The right thing for her to do would be to talk to Mark. He is going to find out that the pizzas were stolen when he sees that there is no money made with lots o ingreidents gone. Mark may assume it was Becky because of her past. So she should talk to Mark and tell him what is going on.,2.7290304,2.691903,2.6425133,2.5058243,2.2258406,2.0188165,1.6796522,1.5659962,1.2918354,1.1478034,1.0946434,-0.743086137
Becky should talk to jim privately and try to convince him that he should change his work attitude.  She should explain that him losing his job would affect both of them as they would not be able to afford their monthly rent if he lost his job.,2.9232407,2.8485637,2.741929,2.5097399,2.0713644,1.6303223,1.0291163,0.76755905,0.5804719,0.5079532,0.50429934,-0.743086137
If I were Becky I would write a not to Mark explaining the problems with Jim. In the letter I would state the fact that I do not want Jim to know that I was writing the letter. Then I would leave the letter on Mark's desk and let him handle the problem.,1.7711993,1.6633826,1.5127493,1.2670491,0.8692471,0.6590858,0.5234594,0.8291381,0.9984515,1.1010717,1.1943768,0.460172229
"Becky should first discuss this with Jim, and tell him that he needs to either pay for the pizzas or he needs to go to the boss, and admit what he has done.  He will get caught in the end because eventually the ingredients will be missed.  The boss may unerstand, and perhaps will allow him to work off the pizzas somehow.  Maybe he could help out cleaning up around the restaurant.  If Jim will not tell his boss Becky should tell him.  She wouldn't necessarily have to come right out and tell on her coworker she could come up with a way for the boss to catch him at it.  If he does it once Jim will more than likely do it again.  She could tell the boss to check on the inventory.  She could have other people who might have been at the party come tell her boss bout it.  If all of that fails, she should just tell Mark about Jim stealing the pizzas.",3.6421585,3.6481776,3.6589649,3.5712476,3.318408,3.0047276,2.3683634,1.8255624,1.2113293,0.88894165,0.73316216,2.34903445
I would tell Jim to stop stealing from the company because if he gets caught then we would be out rent money. if the behavior didnt stop then i would go to mark and explain the situation with him and see if having a conversation with Jim would curve the bhavior. if not i would start looking for  a new roommate with whom i didnt work with.,3.4558442,3.4676058,3.48792,3.4231832,3.215911,2.9897814,2.4759555,2.0383468,1.4438784,1.1238105,0.9667635,0.460172229
Becky should talk to Jim and tell him how she feels about the situation. If Jim continues to steal then I think Becky has no other choice other than to tell Mark,2.764627,2.6625204,2.5155487,2.2296655,1.716536,1.2038571,0.5694453,0.35827288,0.29826486,0.3034221,0.34802642,-0.484258882
I think that Becky should talk to Jim about the whole thing. If he is as good of a friend as she thinks he is then he should understand. Plus it sounds like Mark likes to give second chances. If Jom confesses or pays for them I think that Mark will be undrstanding.,2.1922936,2.0795126,1.9193611,1.6398886,1.1672562,0.7954647,0.41698912,0.49463508,0.5919364,0.6705409,0.7544764,-0.764225588
"Becky should report what happened the night when her and Jim were at the pizza place alone. By not telling Mark, she is putting her own job at risk. By telling Mark, he can be the one to confront Jim and Becky doesn't have to say anything directly to Jim.It is Mark's job to handle his employees.",2.9201844,2.850932,2.752443,2.532713,2.1138103,1.698312,1.1217966,0.8684241,0.66347814,0.5785132,0.5667016,-1.023052843
If I was Becky I would submit an anonymous letter to the pizzeria. I would say in the note that there was some stock items missing that were not made up for through the profit of the pizzeria. That way no one knows it was Becky who told on Jim. And if Jimlooses his job he would have to find another and still pay the rent.,2.6763256,2.6523476,2.6229293,2.5188658,2.2922628,2.1621315,1.9066734,1.8367404,1.5288545,1.358483,1.2873709,0.460172229
"There are several options to this problem. First, I would tell Becky to find a different job.  If this was not possible, I would try to get Jim caught in the act if at all possible.  Nobody likes a tattle-tale, but if he was caught red-handed it would be  must for him to find a different job.  If he was not caught, stipulations that Becky was the one stealing might appear because she has a record of it.",3.1854594,3.1499958,3.1008506,2.9435253,2.607184,2.2568295,1.6844169,1.3321316,0.9558826,0.769318,0.6952472,0.718999483
well the thing that becky needs to first think about is the consequences that will happen if mark finds out what jim is doing and that becky did not stop him or tell mark.  She also needs to think of if her job or friendship is more important and what shereally wants to do before she takes action.  what becky could do is to confront Jim first before going to mark and tell jim that his behavior is wrong and he should stop then if jim does not listen she would then need to go to mark and be honest especiall for everything mark has given her.,2.473945,2.3816748,2.2508812,2.0028393,1.5638838,1.1917683,0.7522694,0.70627636,0.6741126,0.68083453,0.72212225,-0.484258882
"Becky probably doesn't want to just confront Jim about how his stealing at work is bothering her.  It actually probably only really bothers her becuase she doesn't want him to get caught and get fired becuase then he wouldn't be able to pay the other partof the rent.  What she should do is convince jim that she over heard Mark talking on the phone to the store manager about how they are about to install small security cameras in the ceiling so they're completely unnoticable becuase Mark has noticed a shor in supplies.  By doing this, Becky will hopefully scare Jim into not stealing from the pizzaria anymore without getting on his bad side.",3.435206,3.397003,3.3425202,3.1656308,2.7856286,2.3403413,1.6247697,1.1374906,0.7178309,0.5165432,0.43660203,2.090207195
"I believe that Becky needs to worry about herself first and foremost. If Becky's manager finds out that she knew all along about Jeff and did not say or do anything, she could be in trouble as well, and she already has a mark on her record, and her boss s trusting her to be more responsible. She needs to prove that she has changed and is a better person. Since Becky is so worried about Jeff making his rent, I think that first, Becky should tell Jeff what he's doing is wrong. She should warn him that if h does not change she will tell their boss, Mark about everything. Another option Becky should use is helping Jeff to find another job so he can still pay his rent, and persuade him that the right thing to do is to fess up to their boss. If their boss doesnot accept Jeff's honesty and apology, he may be fired, so he should have another job lined up. Becky should tell Mark she knew about Jeff's actions and is the one that persuaded him to come forward. If Becky does not do anything to stop this, the busines, as well as her job could be in jeopardy.",2.6900694,2.6436825,2.5806048,2.425012,2.1178067,1.8817822,1.5237311,1.4193964,1.1850523,1.0660064,1.0285497,0.460172229
"I think Becky should bring up the problem with Jim before she talks to the boss about it. She could tell Jim that she is not happy with some of the work qualities he has been performing, and that she does not think it is right that he is stealing from hisplace of employment. She should make it very clear to Jim that if the problem continues to happen, she will have to turn him in because that is the ethical thing to do. For the roommate situation, I think she should try and get a new roommate, because shecannot trust him. If he steals for the place of employment, he would probably steal from his roommate as well.",2.9899838,2.9612527,2.923163,2.791552,2.5055034,2.250205,1.8093666,1.568302,1.2103765,1.0245892,0.9481085,0.606982123
"Becky should talk to mark and inform him about her Jim's behavior at work. She should suggest that Jim pay for the ten pizza's  that he keep his nose clean and do his work. Otherwise his job will be in danger. Even though Becky is friends with Jim, and sh needs him there to pay for his share of the place, she has an obligation to her work to report stealing and laziness in other employees.  In turn the company will profit more and she may see some of that by receiving a raise or gratitude from the owner Mrk.",3.7201333,3.6936781,3.6554003,3.4899018,3.1123414,2.6260128,1.8104037,1.1871367,0.66721654,0.41429463,0.30495197,-0.078621733
"Becky should talk to Jim about his behavior, how it could hurt him, and reflects on her.",2.652879,2.5401094,2.3777044,2.073627,1.5382648,1.0142947,0.3933495,0.22817263,0.22814445,0.26773658,0.3331163,-1.428689993
"Becky should first talk to Jim and tell him that she knows what he's been taking food from work without paying and give him the opportunity to tell Mark what he did and pay for the pizzas.  If he refuses to tell Mark, Becky should inform him that she is ging to talk to Mark.  If Jim is supposedly a good friend of Becky's and sees that she is upset by his behavior, he will confess to Mark and make ammends.  But if he decides not to confess, and be a jerk to Becky, then she should realize that he's not a god friend and not worth the worry he has caused her.",3.2887204,3.2318504,3.1501062,2.938737,2.5131135,2.031813,1.313938,0.8812676,0.5562331,0.41106904,0.36552125,-0.078621733
"I think a solution for Becky's problem is to talk to Jm about the problem.  It is wrong for Jim to steal pizza and treat customers rudely, Becky just needs to confront Jim about it.  Then Becky can keep Jim as a friend, Jim will still be employed, and shewon't be held responsible at her job.",3.6862268,3.6657403,3.636578,3.4864223,3.134454,2.6863286,1.9139726,1.3158164,0.7826957,0.5186622,0.40157208,-1.281880098
"I would tell Jim not to do that anymore, and tell him that the manager is putting in cameras bcuase he thought he saw someone stealing from the store. I would try and scare Jim into not doing that anymore. I would also say that if he keeps doing this and ets caught, he will be fired and forced to move out.",3.119352,3.147516,3.194077,3.1845145,3.080728,3.04,2.773147,2.532827,1.9534805,1.6234759,1.4549323,0.99896619
"Becky needs to find a new roommate!

This is a tough situation. Unfortunatly becky needs to own-up and be a committed and faithful employee. If she choses to do nothing she will likely lose her job. If this is a small buiness, then the missing stock proobly has not gone unnoticed. She needs to speak to her manager directly! From what it soulnds like is the manager in uderstanding and compassionate. Together they could work out a plan to catch the theiving emplyee, Jim, red handed. This would allow Beckyto remain anonymous, and would also let the employer know what is going on. A secondary outcome that this would produce is repore with the manager. Having trust in the people that you employ would be a great feeling for the manager, and would build their elationship at thie establishment in a positive way.",3.004906,2.9752939,2.9358094,2.8014038,2.5102262,2.246011,1.7935656,1.5435666,1.1854945,1.0005071,0.9247713,0.327015416
Becky needs to have a talk with Jim first and tell him that if he does it again she is going to have to tell on him. If Jim proceeds to do it again Becky needs to tell her boss. And probably find a new roommate.,2.8206902,2.7159398,2.5647292,2.2698555,1.7397975,1.1966333,0.52145314,0.27751863,0.21468654,0.22128996,0.2676735,0.313362334
"Talk to Jim and the manager to set up a meeting to see what they can do about Jims behavior at work, maybe Jim wants something, like a pay raise, or benefits.  Becky needs to tell Jim to stop acting like this or he will have to move out of their house/apatment and Becky will find a new roomate, because if he doesnt stop he will be fired and will not be able to afford rent.",3.397483,3.3579729,3.301716,3.1238792,2.7444246,2.3056915,1.6044195,1.1354438,0.7282135,0.533181,0.4567543,0.460172229
"I think a good way for Becky to tell her boss about whats going on without letting her friend know it was her that told on him, is to tell the manger to check the security tapes. That way when the boss knows what happened and confronts Jim with the proble he can say that the he checks security tapes and that no one told him about what happened he figured out by himself.",2.195175,2.1085165,1.98751,1.7670977,1.3858504,1.1312554,0.8624213,0.970207,0.9777838,0.99495643,1.0388972,0.460172229
"I believe that Becky needs to first confront Jim about the problem, telling him that if he doesn't say anything to Mark, that she will.  But also explain to Jim that it is because it is the right thing to do. Not because she wants to rat him out.",2.4857311,2.371962,2.2088828,1.9114791,1.3953844,0.9221389,0.3849512,0.30668956,0.34537822,0.40145922,0.47509244,-0.337448988
"The first thing I would do is talk to Jim and explain what a bad situation his actions are putting her in.  If he still doesn't stop she should tell, if for no other reason than to cover her butt.  She is worried that Jim may get fired and not be able to ay his part of the rent, but if the boss thinks she is involved then she will get fired too.  Since she had such a hard time getting a job and this person has been so kind to her, she wouldn't want him to think that she was ungrateful or that she was steaing.  If Jim did get fired or didn't want to be her friend, it would be easier for her to find a roommate to take over for him, than it would be for her to find a new job and move out of her place.  She would then be forced to breark a lease which would b more money that she didn't have if she lost her job.",2.990877,2.9803364,2.9695113,2.8790855,2.656825,2.4835062,2.1196034,1.9001127,1.4799426,1.2514709,1.1471847,-0.078621733
Becky can talk to Jim about how he is feeling. If Jime does not feel like he did anything wrong and steals again then Becky can tell the manager.,2.9248772,2.8479946,2.7380455,2.5007699,2.0544224,1.602865,0.99141127,0.7263192,0.5464099,0.47891888,0.47856584,-0.484258882
"One suggestion for Becky would be confronting Jim about her problem and concern before talking to Mark.  If Jim's behavior is effecting the way she can do her job she should tell him.  Also, with him being a good friend and her roomate she may want to tel him that she does not approve of his work ethic in a concerned friend way.  Jim needs to know that him stealing pizza is making her uncomfortable.  Maybe by expressing her concern to Jim it would get him to stop.  If Jim were to have a problem with her cncern, then maybe he would need to find another job.  It may not be healthy for them to be roomates and work together.  Becky should also let Jim know that him stealing pizza could also cost her the job also.  Having one roomate out of work for a brief peiod of time would be better than both of them losing their jobs.  If Jim continues with his behavior Becky should then tell Mark.",3.7892349,3.7610912,3.7199423,3.546921,3.1540115,2.637207,1.7780296,1.1162832,0.5875261,0.3327096,0.22316332,0.348154868
Becky should first confront Mark in person and let him know that what he did was wrong.  If Mark then proceeds to repeating his negative actions then Becky should let her boss know of the issues that she is concerned with including her roommate not havinga job and not being able to make rent.  If Mark fails to listen then Becky should try to find a new roommate and maybe her boss will employ Mark until she does so.,2.6798875,2.6202886,2.5374556,2.352459,2.0002224,1.7078071,1.2988962,1.1839179,0.9967971,0.9095596,0.89268214,0.460172229
"Becky should confront Jim about his misbehavior and give him warning. If his actions do not stop, she should start looking for a new room mate. After finding a new room mate, Becky should tell Mark about what Jim has been doing and how he has been acting owards customers.",3.1853895,3.1006482,2.9776337,2.7086117,2.199149,1.6259421,0.8438745,0.43190616,0.2237799,0.15264638,0.15380587,0.460172229
"I think Becky should tell Mark that Jim is stealing all those pizzas, but she should explain her situation about the rent to see if there would be a way to punish Jim without firing him. Especially due to their situation, but if Mark chooses to fire him,  think Becky should ask some of her other friends to move in with because she wont be able to pay for the whole rent by her self.",3.3132107,3.2662423,3.19922,3.0089831,2.6148095,2.170195,1.4815582,1.0479745,0.6839898,0.5135607,0.451912,0.460172229
"Becky should confront him about it. If it continues to happen, then she should talk to the boss because if he caught him, they could both lose their jobs if she didn't do anything about it which makes it worse because then neither of them would have rent oney. Jim would probably have an easier time finding a new job than Becky would since she has a record. Since the boss has been doing her a favor by giving her that job, she needs to do it well and do him a favor when he is being taken advantage of.",3.2716131,3.2341232,3.1815145,3.0149887,2.6597853,2.27179,1.6453893,1.2452251,0.8576909,0.6685815,0.5941369,-0.190639093
"What i would do is leave a note for the GM about what she has seen. Ask the GM to talk to the thief and give him one chance. If he doesnt listen to his one last chance then she needs to nicely ask him to move out or she needs to find a new place. She coul also talk to him and tell him that she did that when she was younger and it got her in a lot of trouble. She could say that she heard a rumor about what he was doing and the GM has to. Then she wount be suspected about rating him out, but the GM will kno whats going on. The choice is then up to the theif on what to do next",1.8777494,1.8808339,1.8959205,1.8959064,1.8732167,2.1294265,2.4096105,2.7935123,2.5619888,2.3958237,2.3155398,0.460172229
"I think that Becky although she has made mistakes in her past knows ethically that telling her boss about Jim's behavior is the right thing to do.  She could also try talking to Jim about what she knows, this could stop him from stealing and he could possbly change his ways. However it could also cause a huge conflict.  I personally would talk to Jim first, if his antics continue Becky should do what's right for her employer and the company.",3.2200725,3.1693823,3.097241,2.9035492,2.5089927,2.078331,1.422898,1.03391,0.70229506,0.5484668,0.4962481,-0.337448988
"Becky should explain to her roommate Jim her situation on how she needs this job and how it is so flexible with her schedule. She shouldn't accuse Jim rudely of anything just simply explain the situation and that she doesn't want it to ruin their friendshp or her ending up getting fired for letting employees act inappropriate or steal especially when she is the manager of that shift. 

Or if she wanted she could submit an annonymous email/letter to the pizza place as a customer comlaining about how rudey one of the workers was and just simply say it was a male and then maybe Mark the manager would talk to all of the males that worked there to scare him.",3.3587036,3.3433127,3.3234031,3.202313,2.9128828,2.596054,2.0178363,1.5985359,1.1172159,0.86897033,0.75728416,1.5166207
"Becky needs to first talk about the situation with her friend Jim before it gets out of hand. If he is not noticed for his bad behavior then he will continue to do it without punishment. Since Becky is in a sticky situation, it would be in her best interet to first talk to Jim about the situation and if he continues to do it then talk to her boss.",2.8836205,2.811231,2.70822,2.4833345,2.0583944,1.6407923,1.0701802,0.8322841,0.6457637,0.5712412,0.56569,-0.484258882
"If it were me, I probably wouldn't tell, but If I were Becky, I would tell because it could come back to haunt her. She could get fired if the manager finds out and she can't afford to not have a job.",1.5594267,1.4889902,1.395436,1.2457929,1.0081826,1.0370811,1.1720251,1.63466,1.7211854,1.7541742,1.7989379,-1.428689993
"What Becky can do is talk to Jim about what he is doing and how it is causing her problems and it is annoying her. She needs to make sure Jim knows how bad of a problem this is. And if Jim's behavior doesn't change, or if it gets worse, then Becky needs t tell Mark what's going on so he can take care of it.",2.6787086,2.5790288,2.436119,2.1603315,1.6674386,1.1941339,0.6152892,0.452358,0.4022185,0.40896347,0.45332086,-0.484258882
I believe that Becky should at least let her boss know about the things Jim has been doing. She should tell him that she wants it to be anonymous.,2.6669636,2.577062,2.448868,2.1958733,1.7389351,1.3137374,0.7826866,0.6377974,0.55678207,0.541617,0.57151973,-0.484258882
"Have becky talk to the manager and fill him in on what is going on, let the manager know that becky is only doing this because she believes that it is fair...but also advise the manager that Jim is beckys other half of rent so if disciplinary action has t be taken, the manager has to help her find another place to live.",2.9278882,2.8616664,2.7676826,2.5544105,2.1451073,1.740769,1.1730936,0.91933334,0.70242053,0.6097047,0.5929561,0.460172229
I think that Becky should go to Mark and let him know what Jim is doing. Have Becky tell Mark her entire story. Mark will hopefully talk to Jim and give him a second chance because Becky needs Jim to have a job.,2.8902936,2.7971447,2.6629813,2.3906825,1.8918982,1.3781993,0.71573687,0.44916427,0.3320532,0.30559096,0.33146274,-0.484258882
Talk to Jim about his behavior and tell him to change or else Mark will find out. Tell him that you do not want to take sides but be sure to be clear that he needs to stop stealing the pizza in order to keep his job.,3.503439,3.496474,3.4884813,3.3787498,3.0991976,2.77264,2.1540663,1.668668,1.1280316,0.8477991,0.7174245,-0.743086137
First I would talk to Jim about the situation and tell him that I feel uncomfortable about what he is doing.  I would tell Jim that he either needed to pay for the pizzas and stop stealing from the pizzeria or I would tell the owner.,3.147672,3.144399,3.1436963,3.0613604,2.8432665,2.6509964,2.2354617,1.9421113,1.4640268,1.2052592,1.0835669,-0.337448988
tell jim he cant do that any more or she will turn him in and find a new room mate.,2.2176216,2.1652884,2.0956268,1.9518211,1.6881129,1.581346,1.4467577,1.5843074,1.470044,1.4049156,1.3955514,0.16655244
"Becky should tell her boss about the problems Jim is causing. Jim is a good friend but she doesn't want to jeporadize her own job. If her boss finds out what has been going on and that Becky let it happen, he may place some blame on her as well. Yes, Jim ould lose his job but she can either help him find a new job or she can find a new roommate. She can tell her boss to make sure Jim doesn't know that Becky was the one who ""told on him."" To ensure her friend ship with Jim. She can also help Jim find a newjob and tell him that he can find a better one anyways.",3.1556928,3.0905385,2.9970324,2.7739966,2.3373978,1.8625952,1.1795137,0.80693936,0.53826594,0.42376676,0.3962201,0.460172229
"If I were Backy, I would first sit down with Jim and tell him he needs t stop doing what he has been doing (stealing). I would then tell him he needs to admit to Mark about the pizzas he stole and if he doesn't, then I will. Once I talked to Jim I would svise him to start looking for another job so he can still pay his portion of the rent. At the same time, I would be looking for a new roommate, a back up roommate, just in case.",3.1798162,3.146184,3.09981,2.9469368,2.6177957,2.2775867,1.7159352,1.3688447,0.9875416,0.79716676,0.7205285,0.460172229
becky decided to talk to her roommate/friend about di problem he is causing on their friendship and at work. jim thought about it and values his friendship with becky more so he paid for the pizza he took back home for the party he was hosting and helped round more at work.,2.5309484,2.480333,2.4117022,2.255035,1.954661,1.7521051,1.4598475,1.4342818,1.2479734,1.1522994,1.1277016,-0.764225588
If I were Becky I would first confront Jim about it and tell him to stop and if the behavior continued I would have to tell the owner because it could cause me to lose my job also.,2.8060136,2.7277322,2.6162708,2.3821797,1.947115,1.5285134,0.97369224,0.7695729,0.6195459,0.5653936,0.5719611,-0.484258882
Add the cost of the pizzas Jim made to his portion of the rent.,1.7172409,1.7634246,1.8439118,1.9501783,2.100787,2.604979,3.1530776,3.6738408,3.3291888,3.0756564,2.9360368,1.223000911
"She should speak to JIm in private and inform him that his behavior could lead to them both losing their jobs. She should try to scare him with the idea that if they are both not finacially stable, they could lose their apartment.",2.8588967,2.8288906,2.7895365,2.6620457,2.3893836,2.1716464,1.794406,1.6209103,1.2950231,1.1233176,1.0540591,-0.743086137
"The first thing Becky should do would be to report the theft to the manager to ensure that he still trusts her, given her past.  If she doesn't confront her boss before her co-worker then she could face losing her job because she gets blamed for somethingshe didn't do.",2.6378512,2.5821137,2.5052774,2.3312817,1.9983422,1.7372863,1.366943,1.2788069,1.0873908,0.9946664,0.9735858,-0.743086137
"Becky, should leave a note to her supervisor, tell him what has been happening in the restaurant. Also, Becky could talk to Jim about his behavior in private before going to the supervisor.",3.1995049,3.1620607,3.1098766,2.9473102,2.602095,2.2381408,1.6499033,1.2878125,0.9153533,0.7322398,0.6606274,-0.484258882
